value,date,id
1.0,2014-08-04 00:00:00,HF000009EP
1.0014,2014-08-08 00:00:00,HF000009EP
1.0033,2014-08-15 00:00:00,HF000009EP
1.0052,2014-08-22 00:00:00,HF000009EP
1.0071,2014-08-29 00:00:00,HF000009EP
1.009,2014-09-05 00:00:00,HF000009EP
1.011,2014-09-12 00:00:00,HF000009EP
1.0129,2014-09-19 00:00:00,HF000009EP
1.0148,2014-09-26 00:00:00,HF000009EP
1.0186,2014-10-10 00:00:00,HF000009EP
1.0205,2014-10-17 00:00:00,HF000009EP
1.0225,2014-10-24 00:00:00,HF000009EP
1.0244,2014-10-31 00:00:00,HF000009EP
1.0263,2014-11-07 00:00:00,HF000009EP
1.0282,2014-11-14 00:00:00,HF000009EP
1.0301,2014-11-21 00:00:00,HF000009EP
1.0321,2014-11-28 00:00:00,HF000009EP
1.034,2014-12-05 00:00:00,HF000009EP
1.0359,2014-12-12 00:00:00,HF000009EP
1.0378,2014-12-19 00:00:00,HF000009EP
1.0397,2014-12-26 00:00:00,HF000009EP
1.0411,2014-12-31 00:00:00,HF000009EP
1.0436,2015-01-09 00:00:00,HF000009EP
1.0455,2015-01-16 00:00:00,HF000009EP
1.0474,2015-01-23 00:00:00,HF000009EP
1.0493,2015-01-30 00:00:00,HF000009EP
1.0512,2015-02-06 00:00:00,HF000009EP
1.053196,2015-02-13 00:00:00,HF000009EP
1.054351,2015-02-17 00:00:00,HF000009EP
1.057292,2015-02-27 00:00:00,HF000009EP
1.059288,2015-03-06 00:00:00,HF000009EP
1.061284,2015-03-13 00:00:00,HF000009EP
1.06328,2015-03-20 00:00:00,HF000009EP
1.065276,2015-03-27 00:00:00,HF000009EP
1.067377,2015-04-03 00:00:00,HF000009EP
1.069373,2015-04-10 00:00:00,HF000009EP
1.071369,2015-04-17 00:00:00,HF000009EP
1.073365,2015-04-24 00:00:00,HF000009EP
1.075151,2015-04-30 00:00:00,HF000009EP
1.077462,2015-05-08 00:00:00,HF000009EP
1.079458,2015-05-15 00:00:00,HF000009EP
1.081454,2015-05-22 00:00:00,HF000009EP
1.08345,2015-05-29 00:00:00,HF000009EP
1.085446,2015-06-05 00:00:00,HF000009EP
1.087442,2015-06-12 00:00:00,HF000009EP
1.089543,2015-06-19 00:00:00,HF000009EP
1.091539,2015-06-26 00:00:00,HF000009EP
1.093535,2015-07-03 00:00:00,HF000009EP
1.095531,2015-07-10 00:00:00,HF000009EP
1.097527,2015-07-17 00:00:00,HF000009EP
1.099523,2015-07-24 00:00:00,HF000009EP
1.101624,2015-07-31 00:00:00,HF000009EP
