value,date,id
1.0,2014-06-19 00:00:00,HF000009GN
1.007,2014-06-27 00:00:00,HF000009GN
1.008,2014-07-04 00:00:00,HF000009GN
1.009,2014-07-11 00:00:00,HF000009GN
1.01,2014-07-14 00:00:00,HF000009GN
1.009,2014-07-25 00:00:00,HF000009GN
1.02,2014-08-01 00:00:00,HF000009GN
1.023,2014-08-08 00:00:00,HF000009GN
1.03,2014-08-15 00:00:00,HF000009GN
1.045,2014-09-05 00:00:00,HF000009GN
1.044,2014-09-12 00:00:00,HF000009GN
1.046,2014-09-19 00:00:00,HF000009GN
1.051,2014-09-26 00:00:00,HF000009GN
1.061,2014-10-10 00:00:00,HF000009GN
1.064,2014-10-17 00:00:00,HF000009GN
1.07,2014-10-24 00:00:00,HF000009GN
1.075,2014-10-31 00:00:00,HF000009GN
1.081,2014-11-07 00:00:00,HF000009GN
1.077,2014-11-14 00:00:00,HF000009GN
1.076,2014-11-21 00:00:00,HF000009GN
1.083,2014-11-28 00:00:00,HF000009GN
1.073,2014-12-04 00:00:00,HF000009GN
1.067,2014-12-12 00:00:00,HF000009GN
1.065,2014-12-19 00:00:00,HF000009GN
1.078,2014-12-26 00:00:00,HF000009GN
1.079,2014-12-31 00:00:00,HF000009GN
1.079,2015-01-09 00:00:00,HF000009GN
1.083,2015-01-16 00:00:00,HF000009GN
1.085,2015-01-23 00:00:00,HF000009GN
1.084,2015-01-30 00:00:00,HF000009GN
1.087,2015-02-06 00:00:00,HF000009GN
1.09,2015-02-13 00:00:00,HF000009GN
1.094,2015-02-27 00:00:00,HF000009GN
1.095,2015-03-06 00:00:00,HF000009GN
1.097,2015-03-13 00:00:00,HF000009GN
1.097,2015-03-20 00:00:00,HF000009GN
1.096,2015-03-27 00:00:00,HF000009GN
1.096,2015-04-10 00:00:00,HF000009GN
1.098,2015-04-17 00:00:00,HF000009GN
1.105,2015-04-24 00:00:00,HF000009GN
1.107,2015-04-30 00:00:00,HF000009GN
1.109,2015-05-08 00:00:00,HF000009GN
1.11,2015-05-15 00:00:00,HF000009GN
