value,date,id
1.0,2014-08-15 00:00:00,HF000009IX
1.0555,2014-08-22 00:00:00,HF000009IX
1.0264,2014-08-29 00:00:00,HF000009IX
1.0728,2014-09-05 00:00:00,HF000009IX
1.0271,2014-09-12 00:00:00,HF000009IX
0.9846,2014-09-19 00:00:00,HF000009IX
0.976,2014-09-26 00:00:00,HF000009IX
0.9779,2014-09-30 00:00:00,HF000009IX
0.9718,2014-10-10 00:00:00,HF000009IX
0.9747,2014-10-17 00:00:00,HF000009IX
0.9611,2014-10-24 00:00:00,HF000009IX
0.9901,2014-10-31 00:00:00,HF000009IX
1.0024,2014-11-07 00:00:00,HF000009IX
1.0082,2014-11-14 00:00:00,HF000009IX
0.995,2014-11-21 00:00:00,HF000009IX
1.0704,2014-11-28 00:00:00,HF000009IX
1.1413,2014-12-05 00:00:00,HF000009IX
1.2234,2014-12-12 00:00:00,HF000009IX
1.3356,2014-12-19 00:00:00,HF000009IX
1.3896,2014-12-26 00:00:00,HF000009IX
1.4826,2014-12-31 00:00:00,HF000009IX
1.4284,2015-01-09 00:00:00,HF000009IX
1.3889,2015-01-16 00:00:00,HF000009IX
1.4019,2015-01-23 00:00:00,HF000009IX
1.368,2015-01-30 00:00:00,HF000009IX
1.3505,2015-02-06 00:00:00,HF000009IX
1.3651,2015-02-13 00:00:00,HF000009IX
1.4109,2015-02-27 00:00:00,HF000009IX
1.3946,2015-03-06 00:00:00,HF000009IX
1.4139,2015-03-13 00:00:00,HF000009IX
1.4817,2015-03-20 00:00:00,HF000009IX
1.4951,2015-03-27 00:00:00,HF000009IX
1.5598,2015-04-03 00:00:00,HF000009IX
1.5477,2015-04-10 00:00:00,HF000009IX
1.5714,2015-04-17 00:00:00,HF000009IX
1.4988,2015-04-24 00:00:00,HF000009IX
1.6635,2015-04-30 00:00:00,HF000009IX
1.692841,2015-05-08 00:00:00,HF000009IX
1.702295,2015-05-15 00:00:00,HF000009IX
1.852692,2015-05-22 00:00:00,HF000009IX
1.990593,2015-05-29 00:00:00,HF000009IX
1.9255,2015-06-05 00:00:00,HF000009IX
1.886271,2015-06-12 00:00:00,HF000009IX
1.843456,2015-06-19 00:00:00,HF000009IX
1.997874,2015-06-26 00:00:00,HF000009IX
1.816506,2015-07-03 00:00:00,HF000009IX
1.986899,2015-07-10 00:00:00,HF000009IX
2.164246,2015-07-17 00:00:00,HF000009IX
2.216407,2015-07-24 00:00:00,HF000009IX
2.170114,2015-07-31 00:00:00,HF000009IX
2.296061,2015-08-07 00:00:00,HF000009IX
