value,date,id
1.0,2014-10-15 00:00:00,HF000009KZ
0.9974,2014-10-17 00:00:00,HF000009KZ
1.0033,2014-10-24 00:00:00,HF000009KZ
1.0308,2014-10-31 00:00:00,HF000009KZ
1.0386,2014-11-07 00:00:00,HF000009KZ
1.0333,2014-11-14 00:00:00,HF000009KZ
1.0676,2014-11-21 00:00:00,HF000009KZ
1.1097,2014-11-28 00:00:00,HF000009KZ
1.1107,2014-12-05 00:00:00,HF000009KZ
1.1172,2014-12-12 00:00:00,HF000009KZ
1.14,2014-12-19 00:00:00,HF000009KZ
1.1262,2015-01-09 00:00:00,HF000009KZ
1.1531,2015-01-16 00:00:00,HF000009KZ
1.1533,2015-01-23 00:00:00,HF000009KZ
1.1174,2015-01-30 00:00:00,HF000009KZ
1.092,2015-02-06 00:00:00,HF000009KZ
1.1333,2015-02-13 00:00:00,HF000009KZ
1.1798,2015-02-27 00:00:00,HF000009KZ
1.1934,2015-03-06 00:00:00,HF000009KZ
1.2351,2015-03-13 00:00:00,HF000009KZ
1.3201,2015-03-20 00:00:00,HF000009KZ
1.4028,2015-03-27 00:00:00,HF000009KZ
1.4124,2015-03-31 00:00:00,HF000009KZ
1.4885,2015-04-03 00:00:00,HF000009KZ
1.536,2015-04-10 00:00:00,HF000009KZ
1.6307,2015-04-17 00:00:00,HF000009KZ
1.6466,2015-04-24 00:00:00,HF000009KZ
1.6884,2015-04-30 00:00:00,HF000009KZ
1.6409,2015-05-08 00:00:00,HF000009KZ
1.7217,2015-05-15 00:00:00,HF000009KZ
1.8856,2015-05-22 00:00:00,HF000009KZ
1.9545,2015-05-29 00:00:00,HF000009KZ
2.1449,2015-06-05 00:00:00,HF000009KZ
2.2225,2015-06-12 00:00:00,HF000009KZ
1.9816,2015-06-19 00:00:00,HF000009KZ
1.8658,2015-06-26 00:00:00,HF000009KZ
1.4266,2015-07-03 00:00:00,HF000009KZ
1.2634,2015-07-10 00:00:00,HF000009KZ
1.3249,2015-07-17 00:00:00,HF000009KZ
1.3881,2015-07-24 00:00:00,HF000009KZ
1.2752,2015-08-07 00:00:00,HF000009KZ
