value,date,id
1.0,2014-08-29 00:00:00,HF000009PT
1.004,2014-09-05 00:00:00,HF000009PT
1.053,2014-09-12 00:00:00,HF000009PT
1.063,2014-09-19 00:00:00,HF000009PT
1.267,2014-09-26 00:00:00,HF000009PT
1.265,2014-10-10 00:00:00,HF000009PT
1.307,2014-10-17 00:00:00,HF000009PT
1.243,2014-10-24 00:00:00,HF000009PT
1.315,2014-10-31 00:00:00,HF000009PT
1.29,2014-11-07 00:00:00,HF000009PT
1.208,2014-11-14 00:00:00,HF000009PT
1.254,2014-11-21 00:00:00,HF000009PT
1.322,2014-11-28 00:00:00,HF000009PT
1.374,2014-12-05 00:00:00,HF000009PT
1.637,2014-12-12 00:00:00,HF000009PT
1.82,2014-12-19 00:00:00,HF000009PT
1.766,2014-12-26 00:00:00,HF000009PT
1.752,2014-12-31 00:00:00,HF000009PT
1.645,2015-01-09 00:00:00,HF000009PT
1.752,2015-01-16 00:00:00,HF000009PT
1.938,2015-01-23 00:00:00,HF000009PT
2.031,2015-01-30 00:00:00,HF000009PT
1.984,2015-02-06 00:00:00,HF000009PT
2.13,2015-02-13 00:00:00,HF000009PT
2.242,2015-02-27 00:00:00,HF000009PT
2.356,2015-03-06 00:00:00,HF000009PT
2.461,2015-03-13 00:00:00,HF000009PT
2.839,2015-03-20 00:00:00,HF000009PT
2.876,2015-03-27 00:00:00,HF000009PT
3.336,2015-04-03 00:00:00,HF000009PT
3.72,2015-04-10 00:00:00,HF000009PT
3.497,2015-04-17 00:00:00,HF000009PT
3.467,2015-04-24 00:00:00,HF000009PT
3.456,2015-04-30 00:00:00,HF000009PT
4.059,2015-05-08 00:00:00,HF000009PT
4.723,2015-05-15 00:00:00,HF000009PT
5.711,2015-05-22 00:00:00,HF000009PT
6.21,2015-05-29 00:00:00,HF000009PT
6.484,2015-06-05 00:00:00,HF000009PT
6.602,2015-06-12 00:00:00,HF000009PT
5.968,2015-06-19 00:00:00,HF000009PT
5.764,2015-06-26 00:00:00,HF000009PT
4.787,2015-07-03 00:00:00,HF000009PT
4.443,2015-07-10 00:00:00,HF000009PT
4.433,2015-07-17 00:00:00,HF000009PT
4.595,2015-07-24 00:00:00,HF000009PT
4.435,2015-07-31 00:00:00,HF000009PT
4.504,2015-08-07 00:00:00,HF000009PT
