value,date,id
1.0,2014-08-29 00:00:00,HF000009PU
1.002,2014-09-05 00:00:00,HF000009PU
1.003,2014-09-12 00:00:00,HF000009PU
1.004,2014-09-19 00:00:00,HF000009PU
1.006,2014-09-26 00:00:00,HF000009PU
1.008,2014-10-10 00:00:00,HF000009PU
1.01,2014-10-17 00:00:00,HF000009PU
1.011,2014-10-24 00:00:00,HF000009PU
1.012,2014-10-31 00:00:00,HF000009PU
1.014,2014-11-07 00:00:00,HF000009PU
1.015,2014-11-14 00:00:00,HF000009PU
1.017,2014-11-21 00:00:00,HF000009PU
1.018,2014-11-28 00:00:00,HF000009PU
1.019,2014-12-05 00:00:00,HF000009PU
1.021,2014-12-12 00:00:00,HF000009PU
1.022,2014-12-19 00:00:00,HF000009PU
1.023,2014-12-26 00:00:00,HF000009PU
1.024,2014-12-31 00:00:00,HF000009PU
1.026,2015-01-09 00:00:00,HF000009PU
1.027,2015-01-16 00:00:00,HF000009PU
1.029,2015-01-23 00:00:00,HF000009PU
1.03,2015-01-30 00:00:00,HF000009PU
1.032,2015-02-06 00:00:00,HF000009PU
1.033,2015-02-13 00:00:00,HF000009PU
1.036,2015-02-27 00:00:00,HF000009PU
1.037,2015-03-06 00:00:00,HF000009PU
1.038,2015-03-13 00:00:00,HF000009PU
1.04,2015-03-20 00:00:00,HF000009PU
1.041,2015-03-27 00:00:00,HF000009PU
1.042,2015-04-03 00:00:00,HF000009PU
1.044,2015-04-10 00:00:00,HF000009PU
1.045,2015-04-17 00:00:00,HF000009PU
1.046,2015-04-24 00:00:00,HF000009PU
1.048,2015-04-30 00:00:00,HF000009PU
1.049,2015-05-08 00:00:00,HF000009PU
1.051,2015-05-15 00:00:00,HF000009PU
1.052,2015-05-22 00:00:00,HF000009PU
1.053,2015-05-29 00:00:00,HF000009PU
1.055,2015-06-05 00:00:00,HF000009PU
1.056,2015-06-12 00:00:00,HF000009PU
1.057,2015-06-19 00:00:00,HF000009PU
1.059,2015-06-26 00:00:00,HF000009PU
1.06,2015-07-03 00:00:00,HF000009PU
1.061,2015-07-10 00:00:00,HF000009PU
1.063,2015-07-17 00:00:00,HF000009PU
1.064,2015-07-24 00:00:00,HF000009PU
1.066,2015-07-31 00:00:00,HF000009PU
1.067,2015-08-07 00:00:00,HF000009PU
