value,date,id
1.0,2014-08-22 00:00:00,HF000009QF
0.9999,2014-08-29 00:00:00,HF000009QF
1.0434,2014-09-05 00:00:00,HF000009QF
1.0477,2014-09-12 00:00:00,HF000009QF
1.0328,2014-09-19 00:00:00,HF000009QF
1.0627,2014-09-26 00:00:00,HF000009QF
1.0794,2014-09-30 00:00:00,HF000009QF
1.0747,2014-10-10 00:00:00,HF000009QF
1.0439,2014-10-17 00:00:00,HF000009QF
1.0455,2014-10-24 00:00:00,HF000009QF
1.0873,2014-10-31 00:00:00,HF000009QF
1.103,2014-11-07 00:00:00,HF000009QF
1.1184,2014-11-14 00:00:00,HF000009QF
1.1333,2014-11-21 00:00:00,HF000009QF
1.1393,2014-11-28 00:00:00,HF000009QF
1.1625,2014-12-05 00:00:00,HF000009QF
1.2353,2014-12-12 00:00:00,HF000009QF
1.2698,2014-12-19 00:00:00,HF000009QF
1.2563,2014-12-26 00:00:00,HF000009QF
1.2281,2014-12-31 00:00:00,HF000009QF
1.22,2015-01-09 00:00:00,HF000009QF
1.2871,2015-01-16 00:00:00,HF000009QF
1.3227,2015-01-23 00:00:00,HF000009QF
1.2649,2015-01-30 00:00:00,HF000009QF
1.2502,2015-02-06 00:00:00,HF000009QF
1.2996,2015-02-13 00:00:00,HF000009QF
1.3202,2015-02-17 00:00:00,HF000009QF
1.328,2015-02-27 00:00:00,HF000009QF
1.3143,2015-03-06 00:00:00,HF000009QF
1.3624,2015-03-13 00:00:00,HF000009QF
1.4893,2015-03-20 00:00:00,HF000009QF
1.5605,2015-03-27 00:00:00,HF000009QF
1.5428,2015-03-31 00:00:00,HF000009QF
1.6123,2015-04-03 00:00:00,HF000009QF
1.6228,2015-04-10 00:00:00,HF000009QF
1.7068,2015-04-17 00:00:00,HF000009QF
1.7736,2015-04-24 00:00:00,HF000009QF
1.7304,2015-04-30 00:00:00,HF000009QF
1.7569,2015-05-08 00:00:00,HF000009QF
1.8442,2015-05-15 00:00:00,HF000009QF
1.9944,2015-05-22 00:00:00,HF000009QF
1.9602,2015-05-29 00:00:00,HF000009QF
2.0865,2015-06-05 00:00:00,HF000009QF
2.1412,2015-06-12 00:00:00,HF000009QF
1.8928,2015-06-19 00:00:00,HF000009QF
1.7322,2015-06-26 00:00:00,HF000009QF
1.6972,2015-06-30 00:00:00,HF000009QF
1.4712,2015-07-03 00:00:00,HF000009QF
1.3991,2015-07-10 00:00:00,HF000009QF
1.5478,2015-07-17 00:00:00,HF000009QF
1.6717,2015-07-24 00:00:00,HF000009QF
1.5577,2015-07-31 00:00:00,HF000009QF
1.5888,2015-08-07 00:00:00,HF000009QF
