value,date,id
1.0,2014-09-02 00:00:00,HF000009RE
1.005,2014-09-05 00:00:00,HF000009RE
1.002,2014-09-12 00:00:00,HF000009RE
1.005,2014-09-19 00:00:00,HF000009RE
1.004,2014-09-26 00:00:00,HF000009RE
1.008,2014-10-10 00:00:00,HF000009RE
1.004,2014-10-17 00:00:00,HF000009RE
1.005,2014-10-24 00:00:00,HF000009RE
1.006,2014-10-30 00:00:00,HF000009RE
1.016,2014-10-31 00:00:00,HF000009RE
1.009,2014-11-07 00:00:00,HF000009RE
1.026,2014-11-14 00:00:00,HF000009RE
1.021,2014-11-21 00:00:00,HF000009RE
1.062,2014-11-28 00:00:00,HF000009RE
1.108,2014-12-05 00:00:00,HF000009RE
1.127,2014-12-12 00:00:00,HF000009RE
1.124,2014-12-19 00:00:00,HF000009RE
1.148,2014-12-26 00:00:00,HF000009RE
1.149,2014-12-31 00:00:00,HF000009RE
1.182,2015-01-09 00:00:00,HF000009RE
1.211,2015-01-16 00:00:00,HF000009RE
1.234,2015-01-23 00:00:00,HF000009RE
1.219,2015-01-30 00:00:00,HF000009RE
1.202,2015-02-06 00:00:00,HF000009RE
1.234,2015-02-13 00:00:00,HF000009RE
1.243,2015-02-17 00:00:00,HF000009RE
1.244,2015-02-27 00:00:00,HF000009RE
1.262,2015-03-06 00:00:00,HF000009RE
1.28,2015-03-13 00:00:00,HF000009RE
1.317,2015-03-20 00:00:00,HF000009RE
1.35,2015-03-27 00:00:00,HF000009RE
1.376,2015-04-03 00:00:00,HF000009RE
1.377,2015-04-10 00:00:00,HF000009RE
1.39,2015-04-17 00:00:00,HF000009RE
1.392,2015-04-24 00:00:00,HF000009RE
1.391,2015-04-30 00:00:00,HF000009RE
1.387,2015-05-08 00:00:00,HF000009RE
1.395,2015-05-15 00:00:00,HF000009RE
1.455,2015-05-22 00:00:00,HF000009RE
1.455,2015-05-29 00:00:00,HF000009RE
1.524,2015-06-05 00:00:00,HF000009RE
1.522,2015-06-12 00:00:00,HF000009RE
1.451,2015-06-19 00:00:00,HF000009RE
1.438,2015-06-26 00:00:00,HF000009RE
1.419,2015-07-03 00:00:00,HF000009RE
1.445,2015-07-10 00:00:00,HF000009RE
1.463,2015-07-17 00:00:00,HF000009RE
1.46,2015-07-24 00:00:00,HF000009RE
1.454,2015-07-31 00:00:00,HF000009RE
1.461,2015-08-07 00:00:00,HF000009RE
