value,date,id
1.0,2014-09-11 00:00:00,HF000009Y0
1.1447,2014-09-12 00:00:00,HF000009Y0
1.1382,2014-09-19 00:00:00,HF000009Y0
1.1319,2014-09-26 00:00:00,HF000009Y0
1.2902,2014-10-17 00:00:00,HF000009Y0
1.221,2014-10-24 00:00:00,HF000009Y0
1.2331,2014-10-31 00:00:00,HF000009Y0
1.1733,2014-11-07 00:00:00,HF000009Y0
1.0984,2014-11-14 00:00:00,HF000009Y0
1.0886,2014-11-21 00:00:00,HF000009Y0
1.115,2014-11-28 00:00:00,HF000009Y0
1.0328,2014-12-05 00:00:00,HF000009Y0
1.0212,2014-12-12 00:00:00,HF000009Y0
0.9921,2014-12-19 00:00:00,HF000009Y0
0.9623,2014-12-26 00:00:00,HF000009Y0
0.9452,2014-12-31 00:00:00,HF000009Y0
0.9764,2015-01-09 00:00:00,HF000009Y0
0.9962,2015-01-16 00:00:00,HF000009Y0
1.0641,2015-01-23 00:00:00,HF000009Y0
1.0601,2015-01-30 00:00:00,HF000009Y0
1.0397,2015-02-06 00:00:00,HF000009Y0
1.0449,2015-02-13 00:00:00,HF000009Y0
1.0651,2015-02-17 00:00:00,HF000009Y0
1.115,2015-02-27 00:00:00,HF000009Y0
1.1401,2015-03-06 00:00:00,HF000009Y0
1.1362,2015-03-13 00:00:00,HF000009Y0
1.1916,2015-03-20 00:00:00,HF000009Y0
1.2238,2015-03-27 00:00:00,HF000009Y0
1.3224,2015-04-03 00:00:00,HF000009Y0
1.4588,2015-04-10 00:00:00,HF000009Y0
1.3614,2015-04-17 00:00:00,HF000009Y0
1.6109,2015-04-24 00:00:00,HF000009Y0
1.5357,2015-04-30 00:00:00,HF000009Y0
1.5112,2015-05-08 00:00:00,HF000009Y0
1.7123,2015-05-15 00:00:00,HF000009Y0
1.9956,2015-05-22 00:00:00,HF000009Y0
2.192,2015-05-29 00:00:00,HF000009Y0
2.2558,2015-06-05 00:00:00,HF000009Y0
2.4612,2015-06-12 00:00:00,HF000009Y0
2.0264,2015-06-19 00:00:00,HF000009Y0
1.8263,2015-06-26 00:00:00,HF000009Y0
1.8641,2015-07-03 00:00:00,HF000009Y0
1.8603,2015-07-10 00:00:00,HF000009Y0
1.8595,2015-07-17 00:00:00,HF000009Y0
1.8464,2015-07-24 00:00:00,HF000009Y0
1.846,2015-07-31 00:00:00,HF000009Y0
