value,date,id
1.0,2014-08-07 00:00:00,HF000009YJ
1.0126,2014-08-15 00:00:00,HF000009YJ
1.0328,2014-08-22 00:00:00,HF000009YJ
1.0291,2014-08-29 00:00:00,HF000009YJ
1.0343,2014-09-05 00:00:00,HF000009YJ
1.063,2014-09-12 00:00:00,HF000009YJ
1.075,2014-09-19 00:00:00,HF000009YJ
1.078,2014-09-26 00:00:00,HF000009YJ
1.084,2014-09-30 00:00:00,HF000009YJ
1.095,2014-10-10 00:00:00,HF000009YJ
1.087,2014-10-17 00:00:00,HF000009YJ
1.079,2014-10-24 00:00:00,HF000009YJ
1.077,2014-10-31 00:00:00,HF000009YJ
1.091,2014-11-07 00:00:00,HF000009YJ
1.061,2014-11-14 00:00:00,HF000009YJ
1.076,2014-11-21 00:00:00,HF000009YJ
1.055,2014-11-28 00:00:00,HF000009YJ
0.982,2014-12-29 00:00:00,HF000009YJ
0.978,2015-01-16 00:00:00,HF000009YJ
0.981,2015-01-23 00:00:00,HF000009YJ
0.985,2015-01-30 00:00:00,HF000009YJ
0.983,2015-02-06 00:00:00,HF000009YJ
0.993,2015-02-27 00:00:00,HF000009YJ
0.999,2015-03-02 00:00:00,HF000009YJ
1.024,2015-03-13 00:00:00,HF000009YJ
1.029,2015-03-20 00:00:00,HF000009YJ
1.058,2015-04-03 00:00:00,HF000009YJ
1.052,2015-04-10 00:00:00,HF000009YJ
1.029,2015-04-17 00:00:00,HF000009YJ
1.039,2015-04-24 00:00:00,HF000009YJ
1.039,2015-04-30 00:00:00,HF000009YJ
1.055,2015-05-08 00:00:00,HF000009YJ
1.07,2015-05-15 00:00:00,HF000009YJ
1.087,2015-05-22 00:00:00,HF000009YJ
1.092,2015-05-29 00:00:00,HF000009YJ
1.125,2015-06-05 00:00:00,HF000009YJ
1.129,2015-06-12 00:00:00,HF000009YJ
1.1386,2015-06-23 00:00:00,HF000009YJ
1.142,2015-06-25 00:00:00,HF000009YJ
1.147,2015-07-06 00:00:00,HF000009YJ
1.16,2015-07-16 00:00:00,HF000009YJ
