value,date,id
1.0,2014-01-01 00:00:00,HF000009YX
1.033,2014-01-02 00:00:00,HF000009YX
1.04,2014-01-03 00:00:00,HF000009YX
1.057,2014-01-06 00:00:00,HF000009YX
1.08,2014-01-07 00:00:00,HF000009YX
1.002,2014-01-08 00:00:00,HF000009YX
0.997,2014-01-09 00:00:00,HF000009YX
1.002,2014-01-10 00:00:00,HF000009YX
1.001,2014-01-13 00:00:00,HF000009YX
1.002,2014-01-14 00:00:00,HF000009YX
0.989,2014-01-15 00:00:00,HF000009YX
1.0,2014-01-16 00:00:00,HF000009YX
0.993,2014-01-17 00:00:00,HF000009YX
0.991,2014-01-20 00:00:00,HF000009YX
0.989,2014-01-21 00:00:00,HF000009YX
0.992,2014-01-22 00:00:00,HF000009YX
0.979,2014-01-23 00:00:00,HF000009YX
1.003,2014-01-24 00:00:00,HF000009YX
1.011,2014-01-27 00:00:00,HF000009YX
1.011,2014-01-28 00:00:00,HF000009YX
1.012,2014-01-29 00:00:00,HF000009YX
1.035,2014-01-30 00:00:00,HF000009YX
1.024,2014-02-07 00:00:00,HF000009YX
1.014,2014-02-10 00:00:00,HF000009YX
1.018,2014-02-11 00:00:00,HF000009YX
1.023,2014-02-12 00:00:00,HF000009YX
1.028,2014-02-13 00:00:00,HF000009YX
1.028,2014-02-14 00:00:00,HF000009YX
1.037,2014-02-17 00:00:00,HF000009YX
1.043,2014-02-18 00:00:00,HF000009YX
1.043,2014-02-19 00:00:00,HF000009YX
1.041,2014-02-20 00:00:00,HF000009YX
1.046,2014-02-21 00:00:00,HF000009YX
1.052,2014-02-24 00:00:00,HF000009YX
1.048,2014-02-25 00:00:00,HF000009YX
1.051,2014-02-26 00:00:00,HF000009YX
1.054,2014-02-27 00:00:00,HF000009YX
1.051,2014-02-28 00:00:00,HF000009YX
1.052,2014-03-03 00:00:00,HF000009YX
1.045,2014-03-04 00:00:00,HF000009YX
1.045,2014-03-05 00:00:00,HF000009YX
1.046,2014-03-06 00:00:00,HF000009YX
1.048,2014-03-07 00:00:00,HF000009YX
1.059,2014-03-10 00:00:00,HF000009YX
1.067,2014-03-11 00:00:00,HF000009YX
1.062,2014-03-12 00:00:00,HF000009YX
1.058,2014-03-13 00:00:00,HF000009YX
1.046,2014-03-14 00:00:00,HF000009YX
1.025,2014-03-17 00:00:00,HF000009YX
1.024,2014-03-18 00:00:00,HF000009YX
1.024,2014-03-19 00:00:00,HF000009YX
1.022,2014-03-20 00:00:00,HF000009YX
1.026,2014-03-21 00:00:00,HF000009YX
1.025,2014-03-24 00:00:00,HF000009YX
1.027,2014-03-25 00:00:00,HF000009YX
1.022,2014-03-26 00:00:00,HF000009YX
1.024,2014-03-27 00:00:00,HF000009YX
1.021,2014-03-28 00:00:00,HF000009YX
1.018,2014-03-31 00:00:00,HF000009YX
1.014,2014-04-01 00:00:00,HF000009YX
0.994,2014-04-02 00:00:00,HF000009YX
0.993,2014-04-03 00:00:00,HF000009YX
0.999,2014-04-04 00:00:00,HF000009YX
0.997,2014-04-08 00:00:00,HF000009YX
1.024,2014-04-09 00:00:00,HF000009YX
1.037,2014-04-10 00:00:00,HF000009YX
1.054,2014-04-11 00:00:00,HF000009YX
1.037,2014-04-14 00:00:00,HF000009YX
1.029,2014-04-15 00:00:00,HF000009YX
1.011,2014-04-16 00:00:00,HF000009YX
1.011,2014-04-17 00:00:00,HF000009YX
1.011,2014-04-18 00:00:00,HF000009YX
1.011,2014-04-25 00:00:00,HF000009YX
1.011,2014-05-09 00:00:00,HF000009YX
1.012,2014-05-16 00:00:00,HF000009YX
1.006,2014-05-23 00:00:00,HF000009YX
1.005,2014-05-30 00:00:00,HF000009YX
1.044,2014-06-06 00:00:00,HF000009YX
1.022,2014-06-13 00:00:00,HF000009YX
1.021,2014-06-20 00:00:00,HF000009YX
1.021,2014-06-27 00:00:00,HF000009YX
1.119,2014-07-04 00:00:00,HF000009YX
1.185,2014-07-11 00:00:00,HF000009YX
1.189,2014-07-18 00:00:00,HF000009YX
1.182,2014-07-25 00:00:00,HF000009YX
1.15,2014-08-01 00:00:00,HF000009YX
1.146,2014-08-08 00:00:00,HF000009YX
1.134,2014-08-15 00:00:00,HF000009YX
1.131,2014-08-22 00:00:00,HF000009YX
1.152,2014-08-29 00:00:00,HF000009YX
1.162,2014-09-05 00:00:00,HF000009YX
1.16,2014-09-09 00:00:00,HF000009YX
1.147,2014-09-10 00:00:00,HF000009YX
1.152,2014-09-11 00:00:00,HF000009YX
1.156,2014-09-12 00:00:00,HF000009YX
1.154,2014-09-15 00:00:00,HF000009YX
1.171,2014-09-16 00:00:00,HF000009YX
1.168,2014-09-17 00:00:00,HF000009YX
1.17,2014-09-18 00:00:00,HF000009YX
1.154,2014-09-19 00:00:00,HF000009YX
1.155,2014-09-22 00:00:00,HF000009YX
1.157,2014-09-23 00:00:00,HF000009YX
1.144,2014-09-24 00:00:00,HF000009YX
1.168,2014-09-25 00:00:00,HF000009YX
1.214,2014-09-26 00:00:00,HF000009YX
1.222,2014-09-30 00:00:00,HF000009YX
1.22,2014-10-09 00:00:00,HF000009YX
1.218,2014-10-10 00:00:00,HF000009YX
1.223,2014-10-17 00:00:00,HF000009YX
1.217,2014-10-24 00:00:00,HF000009YX
1.202,2014-10-28 00:00:00,HF000009YX
1.214,2014-10-31 00:00:00,HF000009YX
1.203,2014-11-04 00:00:00,HF000009YX
1.194,2014-11-07 00:00:00,HF000009YX
1.208,2014-11-14 00:00:00,HF000009YX
1.209,2014-11-21 00:00:00,HF000009YX
1.247,2014-11-28 00:00:00,HF000009YX
1.25,2014-12-01 00:00:00,HF000009YX
1.246,2014-12-05 00:00:00,HF000009YX
1.216,2014-12-12 00:00:00,HF000009YX
1.222,2014-12-16 00:00:00,HF000009YX
