value,date,id
1.0,2014-09-12 00:00:00,HF000009ZW
0.9999,2014-09-15 00:00:00,HF000009ZW
0.9999,2014-09-16 00:00:00,HF000009ZW
0.9998,2014-09-17 00:00:00,HF000009ZW
0.9998,2014-09-18 00:00:00,HF000009ZW
0.9998,2014-09-19 00:00:00,HF000009ZW
0.9997,2014-09-22 00:00:00,HF000009ZW
0.9996,2014-09-23 00:00:00,HF000009ZW
0.9996,2014-09-24 00:00:00,HF000009ZW
0.9995,2014-09-25 00:00:00,HF000009ZW
0.9995,2014-09-26 00:00:00,HF000009ZW
0.9994,2014-09-29 00:00:00,HF000009ZW
0.9996,2014-09-30 00:00:00,HF000009ZW
0.9992,2014-10-08 00:00:00,HF000009ZW
0.9997,2014-10-09 00:00:00,HF000009ZW
0.9997,2014-10-10 00:00:00,HF000009ZW
0.9997,2014-10-13 00:00:00,HF000009ZW
0.9999,2014-10-14 00:00:00,HF000009ZW
1.0001,2014-10-15 00:00:00,HF000009ZW
1.0001,2014-10-16 00:00:00,HF000009ZW
1.0003,2014-10-17 00:00:00,HF000009ZW
1.0003,2014-10-20 00:00:00,HF000009ZW
1.0006,2014-10-21 00:00:00,HF000009ZW
1.0006,2014-10-22 00:00:00,HF000009ZW
1.0004,2014-10-23 00:00:00,HF000009ZW
1.0005,2014-10-24 00:00:00,HF000009ZW
1.0004,2014-10-27 00:00:00,HF000009ZW
1.0008,2014-10-28 00:00:00,HF000009ZW
1.0008,2014-10-29 00:00:00,HF000009ZW
1.0009,2014-10-30 00:00:00,HF000009ZW
1.0011,2014-10-31 00:00:00,HF000009ZW
1.0011,2014-11-03 00:00:00,HF000009ZW
1.0013,2014-11-04 00:00:00,HF000009ZW
1.001,2014-11-05 00:00:00,HF000009ZW
1.0015,2014-11-06 00:00:00,HF000009ZW
1.0015,2014-11-07 00:00:00,HF000009ZW
1.0023,2014-11-10 00:00:00,HF000009ZW
1.0025,2014-11-11 00:00:00,HF000009ZW
1.0031,2014-11-12 00:00:00,HF000009ZW
1.0034,2014-11-13 00:00:00,HF000009ZW
1.0034,2014-11-14 00:00:00,HF000009ZW
1.0035,2014-11-17 00:00:00,HF000009ZW
1.004,2014-11-18 00:00:00,HF000009ZW
1.0037,2014-11-19 00:00:00,HF000009ZW
1.0039,2014-11-20 00:00:00,HF000009ZW
1.0053,2014-11-21 00:00:00,HF000009ZW
1.008,2014-11-24 00:00:00,HF000009ZW
1.0102,2014-11-25 00:00:00,HF000009ZW
1.0125,2014-11-26 00:00:00,HF000009ZW
1.0139,2014-11-27 00:00:00,HF000009ZW
1.0143,2014-11-28 00:00:00,HF000009ZW
1.0145,2014-12-01 00:00:00,HF000009ZW
1.0173,2014-12-02 00:00:00,HF000009ZW
1.0221,2014-12-03 00:00:00,HF000009ZW
1.0284,2014-12-04 00:00:00,HF000009ZW
1.0301,2014-12-05 00:00:00,HF000009ZW
1.0332,2014-12-08 00:00:00,HF000009ZW
1.0304,2014-12-09 00:00:00,HF000009ZW
1.0361,2014-12-10 00:00:00,HF000009ZW
1.0409,2014-12-11 00:00:00,HF000009ZW
1.0432,2014-12-12 00:00:00,HF000009ZW
1.0468,2014-12-15 00:00:00,HF000009ZW
1.0495,2014-12-16 00:00:00,HF000009ZW
1.0518,2014-12-17 00:00:00,HF000009ZW
1.0546,2014-12-18 00:00:00,HF000009ZW
1.0618,2014-12-19 00:00:00,HF000009ZW
1.0636,2014-12-22 00:00:00,HF000009ZW
1.0524,2014-12-23 00:00:00,HF000009ZW
1.0515,2014-12-24 00:00:00,HF000009ZW
1.061,2014-12-25 00:00:00,HF000009ZW
1.0683,2014-12-26 00:00:00,HF000009ZW
1.069,2014-12-29 00:00:00,HF000009ZW
1.0659,2014-12-30 00:00:00,HF000009ZW
1.0681,2014-12-31 00:00:00,HF000009ZW
1.0814,2015-01-05 00:00:00,HF000009ZW
1.0784,2015-01-06 00:00:00,HF000009ZW
1.0817,2015-01-07 00:00:00,HF000009ZW
1.0781,2015-01-08 00:00:00,HF000009ZW
1.0778,2015-01-09 00:00:00,HF000009ZW
1.0706,2015-01-12 00:00:00,HF000009ZW
1.0741,2015-01-13 00:00:00,HF000009ZW
1.0688,2015-01-14 00:00:00,HF000009ZW
1.0763,2015-01-15 00:00:00,HF000009ZW
1.0788,2015-01-16 00:00:00,HF000009ZW
1.0669,2015-01-19 00:00:00,HF000009ZW
1.084,2015-01-20 00:00:00,HF000009ZW
1.0907,2015-01-21 00:00:00,HF000009ZW
1.0958,2015-01-22 00:00:00,HF000009ZW
1.0939,2015-01-23 00:00:00,HF000009ZW
1.0964,2015-01-26 00:00:00,HF000009ZW
1.0979,2015-01-27 00:00:00,HF000009ZW
1.1001,2015-01-28 00:00:00,HF000009ZW
1.0999,2015-01-29 00:00:00,HF000009ZW
1.0988,2015-01-30 00:00:00,HF000009ZW
1.0956,2015-02-02 00:00:00,HF000009ZW
1.1019,2015-02-03 00:00:00,HF000009ZW
1.1091,2015-02-04 00:00:00,HF000009ZW
1.1061,2015-02-05 00:00:00,HF000009ZW
