value,date,id
1.0,2014-08-08 00:00:00,HF00000A6V
0.999,2014-08-12 00:00:00,HF00000A6V
1.027,2014-08-18 00:00:00,HF00000A6V
1.041,2014-08-25 00:00:00,HF00000A6V
1.02,2014-09-01 00:00:00,HF00000A6V
1.009,2014-09-09 00:00:00,HF00000A6V
1.055,2014-09-15 00:00:00,HF00000A6V
1.068,2014-09-22 00:00:00,HF00000A6V
1.103,2014-09-30 00:00:00,HF00000A6V
1.101,2014-10-08 00:00:00,HF00000A6V
1.123,2014-10-19 00:00:00,HF00000A6V
1.12,2014-10-24 00:00:00,HF00000A6V
1.121,2014-10-31 00:00:00,HF00000A6V
1.139,2014-11-07 00:00:00,HF00000A6V
1.134,2014-11-14 00:00:00,HF00000A6V
1.155,2014-11-28 00:00:00,HF00000A6V
1.043,2014-12-12 00:00:00,HF00000A6V
0.982,2014-12-19 00:00:00,HF00000A6V
1.045,2014-12-26 00:00:00,HF00000A6V
1.087,2015-01-06 00:00:00,HF00000A6V
1.103,2015-01-15 00:00:00,HF00000A6V
1.101,2015-01-22 00:00:00,HF00000A6V
1.149,2015-01-29 00:00:00,HF00000A6V
1.123,2015-02-05 00:00:00,HF00000A6V
1.07,2015-02-12 00:00:00,HF00000A6V
1.094,2015-02-26 00:00:00,HF00000A6V
1.16,2015-03-05 00:00:00,HF00000A6V
1.15,2015-03-12 00:00:00,HF00000A6V
1.124,2015-03-19 00:00:00,HF00000A6V
1.15,2015-03-26 00:00:00,HF00000A6V
1.219,2015-04-02 00:00:00,HF00000A6V
1.252,2015-04-09 00:00:00,HF00000A6V
1.225,2015-04-16 00:00:00,HF00000A6V
1.193,2015-04-17 00:00:00,HF00000A6V
1.223,2015-04-23 00:00:00,HF00000A6V
1.202406,2015-04-24 00:00:00,HF00000A6V
1.243,2015-04-30 00:00:00,HF00000A6V
1.237,2015-05-07 00:00:00,HF00000A6V
1.231,2015-05-08 00:00:00,HF00000A6V
1.279,2015-05-14 00:00:00,HF00000A6V
1.28,2015-05-15 00:00:00,HF00000A6V
1.297,2015-05-21 00:00:00,HF00000A6V
1.312,2015-05-22 00:00:00,HF00000A6V
1.235,2015-05-28 00:00:00,HF00000A6V
1.293,2015-05-29 00:00:00,HF00000A6V
1.321,2015-06-05 00:00:00,HF00000A6V
1.322,2015-06-12 00:00:00,HF00000A6V
1.332,2015-06-23 00:00:00,HF00000A6V
1.346,2015-06-25 00:00:00,HF00000A6V
1.344,2015-06-26 00:00:00,HF00000A6V
1.349,2015-07-02 00:00:00,HF00000A6V
1.323,2015-07-03 00:00:00,HF00000A6V
1.377,2015-07-06 00:00:00,HF00000A6V
1.417,2015-07-13 00:00:00,HF00000A6V
1.425,2015-07-17 00:00:00,HF00000A6V
1.424,2015-07-24 00:00:00,HF00000A6V
