value,date,id
1.0,2014-08-13 00:00:00,HF00000A84
1.439,2015-03-13 00:00:00,HF00000A84
1.523,2015-03-18 00:00:00,HF00000A84
1.538,2015-03-20 00:00:00,HF00000A84
1.659,2015-03-26 00:00:00,HF00000A84
1.68,2015-03-27 00:00:00,HF00000A84
1.78,2015-04-02 00:00:00,HF00000A84
1.8,2015-04-03 00:00:00,HF00000A84
1.856,2015-04-10 00:00:00,HF00000A84
1.895,2015-04-14 00:00:00,HF00000A84
1.883,2015-04-17 00:00:00,HF00000A84
2.033,2015-04-24 00:00:00,HF00000A84
2.099,2015-04-30 00:00:00,HF00000A84
2.112,2015-05-08 00:00:00,HF00000A84
2.234,2015-05-14 00:00:00,HF00000A84
2.252,2015-05-15 00:00:00,HF00000A84
2.385,2015-05-20 00:00:00,HF00000A84
2.665,2015-05-26 00:00:00,HF00000A84
2.513,2015-05-29 00:00:00,HF00000A84
2.796,2015-06-05 00:00:00,HF00000A84
2.882,2015-06-10 00:00:00,HF00000A84
2.96,2015-06-11 00:00:00,HF00000A84
2.992,2015-06-12 00:00:00,HF00000A84
2.884,2015-06-17 00:00:00,HF00000A84
2.707,2015-06-19 00:00:00,HF00000A84
2.49,2015-06-30 00:00:00,HF00000A84
2.341,2015-07-06 00:00:00,HF00000A84
2.368,2015-07-09 00:00:00,HF00000A84
2.388,2015-07-10 00:00:00,HF00000A84
2.402,2015-07-16 00:00:00,HF00000A84
2.413,2015-07-17 00:00:00,HF00000A84
2.417,2015-07-24 00:00:00,HF00000A84
2.311,2015-07-30 00:00:00,HF00000A84
2.289,2015-07-31 00:00:00,HF00000A84
2.281,2015-08-06 00:00:00,HF00000A84
2.285,2015-08-07 00:00:00,HF00000A84
