value,date,id
1.0,2014-08-05 00:00:00,HF00000ABR
1.001,2014-08-22 00:00:00,HF00000ABR
0.996,2014-08-29 00:00:00,HF00000ABR
1.034,2014-09-05 00:00:00,HF00000ABR
1.094,2014-09-30 00:00:00,HF00000ABR
1.121,2014-10-31 00:00:00,HF00000ABR
1.218,2014-11-28 00:00:00,HF00000ABR
1.435,2014-12-05 00:00:00,HF00000ABR
1.614,2014-12-12 00:00:00,HF00000ABR
1.78,2014-12-19 00:00:00,HF00000ABR
1.828,2014-12-31 00:00:00,HF00000ABR
1.896,2015-01-31 00:00:00,HF00000ABR
1.88,2015-02-27 00:00:00,HF00000ABR
2.106,2015-03-31 00:00:00,HF00000ABR
2.465,2015-04-30 00:00:00,HF00000ABR
2.671,2015-05-29 00:00:00,HF00000ABR
2.54,2015-06-30 00:00:00,HF00000ABR
1.469,2015-07-31 00:00:00,HF00000ABR
1.414,2015-08-05 00:00:00,HF00000ABR
