value,date,id
1.0,2014-08-04 00:00:00,HF00000ADV
1.0001,2014-08-08 00:00:00,HF00000ADV
1.0001,2014-08-15 00:00:00,HF00000ADV
0.9996,2014-08-22 00:00:00,HF00000ADV
0.9741,2014-08-29 00:00:00,HF00000ADV
1.0969,2014-09-05 00:00:00,HF00000ADV
1.0571,2014-09-12 00:00:00,HF00000ADV
1.0098,2014-09-19 00:00:00,HF00000ADV
1.0224,2014-09-26 00:00:00,HF00000ADV
1.0214,2014-09-29 00:00:00,HF00000ADV
1.0211,2014-09-30 00:00:00,HF00000ADV
1.0642,2014-10-08 00:00:00,HF00000ADV
1.0047,2014-10-16 00:00:00,HF00000ADV
0.9986,2014-10-17 00:00:00,HF00000ADV
1.0077,2014-10-20 00:00:00,HF00000ADV
0.9448,2014-10-24 00:00:00,HF00000ADV
0.9723,2014-10-31 00:00:00,HF00000ADV
1.0416,2014-11-14 00:00:00,HF00000ADV
1.1326,2014-11-21 00:00:00,HF00000ADV
1.271,2014-11-28 00:00:00,HF00000ADV
1.9018,2014-12-05 00:00:00,HF00000ADV
1.9971,2014-12-12 00:00:00,HF00000ADV
2.3256,2014-12-31 00:00:00,HF00000ADV
2.4125,2015-01-09 00:00:00,HF00000ADV
2.4426,2015-01-16 00:00:00,HF00000ADV
2.0283,2015-01-20 00:00:00,HF00000ADV
2.2609,2015-01-21 00:00:00,HF00000ADV
2.2907,2015-01-22 00:00:00,HF00000ADV
2.1951,2015-01-23 00:00:00,HF00000ADV
2.2372,2015-01-26 00:00:00,HF00000ADV
2.1835,2015-01-27 00:00:00,HF00000ADV
2.1439,2015-01-28 00:00:00,HF00000ADV
2.0831,2015-01-29 00:00:00,HF00000ADV
2.0605,2015-01-30 00:00:00,HF00000ADV
1.9467,2015-02-02 00:00:00,HF00000ADV
2.0064,2015-02-03 00:00:00,HF00000ADV
2.0265,2015-02-04 00:00:00,HF00000ADV
1.9831,2015-02-06 00:00:00,HF00000ADV
1.9843,2015-02-09 00:00:00,HF00000ADV
2.0111,2015-02-10 00:00:00,HF00000ADV
2.0195,2015-02-11 00:00:00,HF00000ADV
2.0222,2015-02-12 00:00:00,HF00000ADV
2.0118,2015-02-13 00:00:00,HF00000ADV
1.9959,2015-02-25 00:00:00,HF00000ADV
2.0474,2015-02-26 00:00:00,HF00000ADV
2.057,2015-02-27 00:00:00,HF00000ADV
2.0902,2015-03-02 00:00:00,HF00000ADV
1.9522,2015-03-03 00:00:00,HF00000ADV
1.9095,2015-03-05 00:00:00,HF00000ADV
1.8983,2015-03-06 00:00:00,HF00000ADV
2.0147,2015-03-09 00:00:00,HF00000ADV
1.9648,2015-03-10 00:00:00,HF00000ADV
1.9469,2015-03-11 00:00:00,HF00000ADV
2.349,2015-03-12 00:00:00,HF00000ADV
2.0512,2015-03-13 00:00:00,HF00000ADV
2.6413,2015-03-17 00:00:00,HF00000ADV
2.6554,2015-03-20 00:00:00,HF00000ADV
2.9194,2015-03-23 00:00:00,HF00000ADV
2.9068,2015-03-24 00:00:00,HF00000ADV
2.6872,2015-03-25 00:00:00,HF00000ADV
2.6632,2015-03-26 00:00:00,HF00000ADV
3.2212,2015-03-30 00:00:00,HF00000ADV
3.1828,2015-04-02 00:00:00,HF00000ADV
3.3326,2015-04-03 00:00:00,HF00000ADV
3.598,2015-04-07 00:00:00,HF00000ADV
3.6564,2015-04-08 00:00:00,HF00000ADV
3.882,2015-04-09 00:00:00,HF00000ADV
4.1311,2015-04-10 00:00:00,HF00000ADV
4.3561,2015-04-13 00:00:00,HF00000ADV
4.3896,2015-04-14 00:00:00,HF00000ADV
4.3727,2015-04-15 00:00:00,HF00000ADV
4.5487,2015-04-20 00:00:00,HF00000ADV
5.0168,2015-04-21 00:00:00,HF00000ADV
4.9693,2015-04-27 00:00:00,HF00000ADV
4.7937,2015-05-04 00:00:00,HF00000ADV
4.2421,2015-05-05 00:00:00,HF00000ADV
4.0583,2015-05-06 00:00:00,HF00000ADV
3.8995,2015-05-07 00:00:00,HF00000ADV
3.9234,2015-05-08 00:00:00,HF00000ADV
4.0707,2015-05-11 00:00:00,HF00000ADV
4.167,2015-05-12 00:00:00,HF00000ADV
4.1397,2015-05-13 00:00:00,HF00000ADV
4.0924,2015-05-14 00:00:00,HF00000ADV
4.1232,2015-05-15 00:00:00,HF00000ADV
4.0702,2015-05-18 00:00:00,HF00000ADV
4.3836,2015-05-19 00:00:00,HF00000ADV
4.4889,2015-05-20 00:00:00,HF00000ADV
4.5832,2015-05-21 00:00:00,HF00000ADV
5.3377,2015-05-22 00:00:00,HF00000ADV
5.461,2015-05-25 00:00:00,HF00000ADV
5.9507,2015-05-26 00:00:00,HF00000ADV
5.1586,2015-05-28 00:00:00,HF00000ADV
4.9379,2015-05-29 00:00:00,HF00000ADV
6.1297,2015-06-01 00:00:00,HF00000ADV
6.3854,2015-06-02 00:00:00,HF00000ADV
6.1667,2015-06-03 00:00:00,HF00000ADV
5.9082,2015-06-04 00:00:00,HF00000ADV
6.2931,2015-06-05 00:00:00,HF00000ADV
7.0741,2015-06-08 00:00:00,HF00000ADV
6.6721,2015-06-09 00:00:00,HF00000ADV
6.8193,2015-06-10 00:00:00,HF00000ADV
6.739,2015-06-11 00:00:00,HF00000ADV
6.8977,2015-06-12 00:00:00,HF00000ADV
6.4586,2015-06-15 00:00:00,HF00000ADV
5.7385,2015-06-16 00:00:00,HF00000ADV
6.0165,2015-06-17 00:00:00,HF00000ADV
5.5973,2015-06-18 00:00:00,HF00000ADV
4.6541,2015-06-19 00:00:00,HF00000ADV
4.8053,2015-06-23 00:00:00,HF00000ADV
4.4376,2015-06-26 00:00:00,HF00000ADV
4.1262,2015-06-29 00:00:00,HF00000ADV
4.1879,2015-06-30 00:00:00,HF00000ADV
4.181,2015-07-02 00:00:00,HF00000ADV
3.966,2015-07-03 00:00:00,HF00000ADV
4.152,2015-07-06 00:00:00,HF00000ADV
4.4086,2015-07-07 00:00:00,HF00000ADV
4.5328,2015-07-09 00:00:00,HF00000ADV
4.9328,2015-07-10 00:00:00,HF00000ADV
4.8418,2015-07-16 00:00:00,HF00000ADV
5.0698,2015-07-17 00:00:00,HF00000ADV
5.4364,2015-07-24 00:00:00,HF00000ADV
4.7083,2015-07-31 00:00:00,HF00000ADV
4.8242,2015-08-07 00:00:00,HF00000ADV
5.3628,2015-08-14 00:00:00,HF00000ADV
