value,date,id
1.0,2014-09-15 00:00:00,HF00000AL1
0.922,2014-10-24 00:00:00,HF00000AL1
1.009,2014-11-21 00:00:00,HF00000AL1
1.086,2014-11-28 00:00:00,HF00000AL1
1.184,2014-12-05 00:00:00,HF00000AL1
1.253,2014-12-12 00:00:00,HF00000AL1
1.242,2014-12-19 00:00:00,HF00000AL1
1.156,2014-12-26 00:00:00,HF00000AL1
1.249,2014-12-31 00:00:00,HF00000AL1
1.247,2015-01-09 00:00:00,HF00000AL1
1.253,2015-01-16 00:00:00,HF00000AL1
1.305,2015-01-23 00:00:00,HF00000AL1
1.154,2015-01-30 00:00:00,HF00000AL1
1.205,2015-02-17 00:00:00,HF00000AL1
1.259,2015-02-27 00:00:00,HF00000AL1
1.111,2015-03-13 00:00:00,HF00000AL1
1.221,2015-03-20 00:00:00,HF00000AL1
1.188,2015-03-27 00:00:00,HF00000AL1
1.312,2015-04-03 00:00:00,HF00000AL1
1.429,2015-04-10 00:00:00,HF00000AL1
1.466,2015-04-17 00:00:00,HF00000AL1
1.612,2015-04-30 00:00:00,HF00000AL1
1.528,2015-05-08 00:00:00,HF00000AL1
1.593,2015-05-15 00:00:00,HF00000AL1
1.763,2015-05-22 00:00:00,HF00000AL1
1.885,2015-05-29 00:00:00,HF00000AL1
1.997,2015-06-05 00:00:00,HF00000AL1
1.9,2015-06-12 00:00:00,HF00000AL1
2.046,2015-06-19 00:00:00,HF00000AL1
2.152,2015-06-26 00:00:00,HF00000AL1
1.857,2015-07-03 00:00:00,HF00000AL1
1.921,2015-07-10 00:00:00,HF00000AL1
2.049,2015-07-17 00:00:00,HF00000AL1
2.116,2015-07-24 00:00:00,HF00000AL1
2.139,2015-07-31 00:00:00,HF00000AL1
2.099,2015-08-07 00:00:00,HF00000AL1
2.099,2015-08-14 00:00:00,HF00000AL1
