value,date,id
1.0,2014-09-29 00:00:00,HF00000ANV
1.0004,2014-09-30 00:00:00,HF00000ANV
1.0026,2014-10-10 00:00:00,HF00000ANV
1.0039,2014-10-16 00:00:00,HF00000ANV
1.0041,2014-10-17 00:00:00,HF00000ANV
1.0056,2014-10-24 00:00:00,HF00000ANV
1.0072,2014-10-31 00:00:00,HF00000ANV
1.0087,2014-11-07 00:00:00,HF00000ANV
1.01,2014-11-14 00:00:00,HF00000ANV
1.0117,2014-11-21 00:00:00,HF00000ANV
1.0132,2014-11-28 00:00:00,HF00000ANV
1.0148,2014-12-05 00:00:00,HF00000ANV
1.0163,2014-12-12 00:00:00,HF00000ANV
1.0169,2014-12-15 00:00:00,HF00000ANV
1.0171,2014-12-16 00:00:00,HF00000ANV
1.0174,2014-12-17 00:00:00,HF00000ANV
1.0176,2014-12-18 00:00:00,HF00000ANV
1.0178,2014-12-19 00:00:00,HF00000ANV
1.0184,2014-12-22 00:00:00,HF00000ANV
1.0187,2014-12-23 00:00:00,HF00000ANV
1.0189,2014-12-24 00:00:00,HF00000ANV
1.0191,2014-12-25 00:00:00,HF00000ANV
1.0368,2014-12-26 00:00:00,HF00000ANV
1.037512,2014-12-29 00:00:00,HF00000ANV
1.03741,2014-12-30 00:00:00,HF00000ANV
1.037613,2014-12-31 00:00:00,HF00000ANV
1.038732,2015-01-05 00:00:00,HF00000ANV
1.039037,2015-01-06 00:00:00,HF00000ANV
1.021949,2015-01-09 00:00:00,HF00000ANV
1.04097,2015-01-15 00:00:00,HF00000ANV
1.023475,2015-01-16 00:00:00,HF00000ANV
1.025001,2015-01-23 00:00:00,HF00000ANV
1.026527,2015-01-30 00:00:00,HF00000ANV
1.028154,2015-02-06 00:00:00,HF00000ANV
1.02968,2015-02-13 00:00:00,HF00000ANV
1.03029,2015-02-16 00:00:00,HF00000ANV
1.030493,2015-02-17 00:00:00,HF00000ANV
1.032731,2015-02-27 00:00:00,HF00000ANV
1.033443,2015-03-02 00:00:00,HF00000ANV
1.033646,2015-03-03 00:00:00,HF00000ANV
1.033849,2015-03-04 00:00:00,HF00000ANV
1.034052,2015-03-05 00:00:00,HF00000ANV
1.034255,2015-03-06 00:00:00,HF00000ANV
1.034967,2015-03-09 00:00:00,HF00000ANV
1.03517,2015-03-10 00:00:00,HF00000ANV
1.035373,2015-03-11 00:00:00,HF00000ANV
1.035678,2015-03-12 00:00:00,HF00000ANV
1.035881,2015-03-13 00:00:00,HF00000ANV
1.036491,2015-03-16 00:00:00,HF00000ANV
1.037406,2015-03-20 00:00:00,HF00000ANV
1.038627,2015-03-27 00:00:00,HF00000ANV
1.040182,2015-04-03 00:00:00,HF00000ANV
1.04153,2015-04-09 00:00:00,HF00000ANV
1.041737,2015-04-10 00:00:00,HF00000ANV
1.042463,2015-04-13 00:00:00,HF00000ANV
1.04267,2015-04-14 00:00:00,HF00000ANV
1.042877,2015-04-15 00:00:00,HF00000ANV
1.043084,2015-04-16 00:00:00,HF00000ANV
1.043291,2015-04-17 00:00:00,HF00000ANV
1.044017,2015-04-20 00:00:00,HF00000ANV
1.044224,2015-04-21 00:00:00,HF00000ANV
1.044431,2015-04-22 00:00:00,HF00000ANV
1.044949,2015-04-24 00:00:00,HF00000ANV
1.046297,2015-04-30 00:00:00,HF00000ANV
1.048059,2015-05-08 00:00:00,HF00000ANV
1.049614,2015-05-15 00:00:00,HF00000ANV
1.050547,2015-05-19 00:00:00,HF00000ANV
1.050754,2015-05-20 00:00:00,HF00000ANV
1.050961,2015-05-21 00:00:00,HF00000ANV
1.051272,2015-05-22 00:00:00,HF00000ANV
1.051894,2015-05-25 00:00:00,HF00000ANV
1.052101,2015-05-26 00:00:00,HF00000ANV
1.052412,2015-05-27 00:00:00,HF00000ANV
1.052619,2015-05-28 00:00:00,HF00000ANV
1.052826,2015-05-29 00:00:00,HF00000ANV
1.053448,2015-06-01 00:00:00,HF00000ANV
1.053759,2015-06-02 00:00:00,HF00000ANV
1.054381,2015-06-05 00:00:00,HF00000ANV
1.055936,2015-06-12 00:00:00,HF00000ANV
1.057595,2015-06-19 00:00:00,HF00000ANV
1.058632,2015-06-26 00:00:00,HF00000ANV
1.060323,2015-07-03 00:00:00,HF00000ANV
1.061909,2015-07-10 00:00:00,HF00000ANV
1.063495,2015-07-17 00:00:00,HF00000ANV
1.064235,2015-07-20 00:00:00,HF00000ANV
1.064446,2015-07-21 00:00:00,HF00000ANV
1.064657,2015-07-22 00:00:00,HF00000ANV
1.064868,2015-07-23 00:00:00,HF00000ANV
1.065079,2015-07-24 00:00:00,HF00000ANV
1.066665,2015-07-31 00:00:00,HF00000ANV
1.068356,2015-08-07 00:00:00,HF00000ANV
1.06899,2015-08-10 00:00:00,HF00000ANV
1.069201,2015-08-11 00:00:00,HF00000ANV
1.069518,2015-08-12 00:00:00,HF00000ANV
1.069729,2015-08-13 00:00:00,HF00000ANV
1.06994,2015-08-14 00:00:00,HF00000ANV
