value,date,id
1.0,2014-09-26 00:00:00,HF00000APR
1.0464,2014-10-10 00:00:00,HF00000APR
0.9996,2014-10-24 00:00:00,HF00000APR
1.0563,2014-10-31 00:00:00,HF00000APR
1.0757,2014-11-07 00:00:00,HF00000APR
1.0543,2014-11-14 00:00:00,HF00000APR
1.0978,2014-11-21 00:00:00,HF00000APR
1.1046,2014-11-28 00:00:00,HF00000APR
1.0967,2014-12-05 00:00:00,HF00000APR
1.0785,2014-12-12 00:00:00,HF00000APR
1.0869,2014-12-19 00:00:00,HF00000APR
1.0803,2014-12-26 00:00:00,HF00000APR
1.0525,2014-12-29 00:00:00,HF00000APR
1.0397,2014-12-31 00:00:00,HF00000APR
1.0478,2015-01-09 00:00:00,HF00000APR
1.0234,2015-01-16 00:00:00,HF00000APR
1.0619,2015-01-23 00:00:00,HF00000APR
1.059,2015-01-30 00:00:00,HF00000APR
1.0527,2015-02-06 00:00:00,HF00000APR
1.0789,2015-02-13 00:00:00,HF00000APR
1.1347,2015-02-27 00:00:00,HF00000APR
1.1856,2015-03-06 00:00:00,HF00000APR
1.2138,2015-03-13 00:00:00,HF00000APR
1.3275,2015-03-20 00:00:00,HF00000APR
1.3007,2015-03-27 00:00:00,HF00000APR
1.3787,2015-04-03 00:00:00,HF00000APR
1.3314,2015-04-10 00:00:00,HF00000APR
1.3622,2015-04-17 00:00:00,HF00000APR
1.4388,2015-04-24 00:00:00,HF00000APR
1.5903,2015-04-30 00:00:00,HF00000APR
1.4727,2015-05-08 00:00:00,HF00000APR
1.4982,2015-05-15 00:00:00,HF00000APR
1.6906,2015-05-22 00:00:00,HF00000APR
1.6471,2015-05-29 00:00:00,HF00000APR
1.8249,2015-06-05 00:00:00,HF00000APR
1.8846,2015-06-12 00:00:00,HF00000APR
1.6461,2015-06-19 00:00:00,HF00000APR
1.4502,2015-06-26 00:00:00,HF00000APR
1.1676,2015-07-10 00:00:00,HF00000APR
1.1118,2015-07-17 00:00:00,HF00000APR
1.1239,2015-07-24 00:00:00,HF00000APR
1.0792,2015-07-31 00:00:00,HF00000APR
