value,date,id
1.0,2014-09-25 00:00:00,HF00000AST
1.101,2014-10-10 00:00:00,HF00000AST
1.127,2014-10-17 00:00:00,HF00000AST
1.039,2014-10-24 00:00:00,HF00000AST
1.146,2014-10-31 00:00:00,HF00000AST
1.171,2014-11-07 00:00:00,HF00000AST
1.076,2014-11-14 00:00:00,HF00000AST
1.128,2014-11-21 00:00:00,HF00000AST
1.198,2014-11-28 00:00:00,HF00000AST
1.045,2014-12-05 00:00:00,HF00000AST
0.833,2014-12-26 00:00:00,HF00000AST
0.805,2015-01-30 00:00:00,HF00000AST
0.82,2015-02-17 00:00:00,HF00000AST
0.828,2015-02-27 00:00:00,HF00000AST
1.19,2015-03-27 00:00:00,HF00000AST
1.608,2015-04-17 00:00:00,HF00000AST
2.543,2015-05-22 00:00:00,HF00000AST
