value,date,id
1.0,2014-09-15 00:00:00,HF00000ASX
0.974,2014-10-31 00:00:00,HF00000ASX
0.962,2014-11-07 00:00:00,HF00000ASX
0.9886,2014-11-14 00:00:00,HF00000ASX
1.0826,2014-11-21 00:00:00,HF00000ASX
1.208654,2014-11-28 00:00:00,HF00000ASX
1.7243,2014-12-05 00:00:00,HF00000ASX
1.6896,2014-12-19 00:00:00,HF00000ASX
2.2593,2014-12-31 00:00:00,HF00000ASX
1.8462,2015-01-19 00:00:00,HF00000ASX
1.8912,2015-01-23 00:00:00,HF00000ASX
1.8471,2015-03-09 00:00:00,HF00000ASX
1.7149,2015-03-16 00:00:00,HF00000ASX
2.2383,2015-03-24 00:00:00,HF00000ASX
2.2384,2015-03-27 00:00:00,HF00000ASX
2.2386,2015-04-03 00:00:00,HF00000ASX
2.7465,2015-04-24 00:00:00,HF00000ASX
2.4236,2015-05-08 00:00:00,HF00000ASX
2.9935,2015-05-15 00:00:00,HF00000ASX
2.37,2015-07-06 00:00:00,HF00000ASX
