value,date,id
1.0,2014-12-01 00:00:00,HF00000ATF
1.0,2014-12-05 00:00:00,HF00000ATF
0.9934,2014-12-12 00:00:00,HF00000ATF
0.972,2014-12-19 00:00:00,HF00000ATF
0.968,2014-12-26 00:00:00,HF00000ATF
0.957,2014-12-31 00:00:00,HF00000ATF
0.952,2015-01-08 00:00:00,HF00000ATF
0.957,2015-01-16 00:00:00,HF00000ATF
0.96,2015-01-22 00:00:00,HF00000ATF
0.965,2015-01-23 00:00:00,HF00000ATF
0.961,2015-01-29 00:00:00,HF00000ATF
0.954,2015-01-30 00:00:00,HF00000ATF
0.939,2015-02-05 00:00:00,HF00000ATF
0.94,2015-02-12 00:00:00,HF00000ATF
0.943,2015-02-17 00:00:00,HF00000ATF
0.942,2015-02-25 00:00:00,HF00000ATF
0.947,2015-02-26 00:00:00,HF00000ATF
0.951,2015-02-27 00:00:00,HF00000ATF
0.945,2015-03-05 00:00:00,HF00000ATF
0.943,2015-03-06 00:00:00,HF00000ATF
0.947,2015-03-12 00:00:00,HF00000ATF
0.947,2015-03-13 00:00:00,HF00000ATF
0.937,2015-03-19 00:00:00,HF00000ATF
0.935,2015-03-20 00:00:00,HF00000ATF
0.932,2015-03-25 00:00:00,HF00000ATF
0.93,2015-03-26 00:00:00,HF00000ATF
0.93,2015-03-27 00:00:00,HF00000ATF
0.933,2015-04-01 00:00:00,HF00000ATF
0.934,2015-04-03 00:00:00,HF00000ATF
0.934,2015-04-09 00:00:00,HF00000ATF
0.934,2015-04-10 00:00:00,HF00000ATF
0.933,2015-04-14 00:00:00,HF00000ATF
0.933,2015-04-16 00:00:00,HF00000ATF
0.934,2015-04-17 00:00:00,HF00000ATF
0.932,2015-04-23 00:00:00,HF00000ATF
0.933,2015-04-30 00:00:00,HF00000ATF
0.94,2015-05-06 00:00:00,HF00000ATF
0.9111,2015-05-08 00:00:00,HF00000ATF
0.888,2015-05-14 00:00:00,HF00000ATF
0.8744,2015-05-22 00:00:00,HF00000ATF
0.876,2015-05-27 00:00:00,HF00000ATF
0.875,2015-05-29 00:00:00,HF00000ATF
0.875,2015-05-31 00:00:00,HF00000ATF
0.874,2015-06-12 00:00:00,HF00000ATF
0.874,2015-06-17 00:00:00,HF00000ATF
0.874,2015-06-19 00:00:00,HF00000ATF
0.875,2015-06-25 00:00:00,HF00000ATF
0.874,2015-07-03 00:00:00,HF00000ATF
0.873,2015-07-10 00:00:00,HF00000ATF
0.883,2015-07-16 00:00:00,HF00000ATF
0.882,2015-07-17 00:00:00,HF00000ATF
0.879,2015-07-24 00:00:00,HF00000ATF
0.873,2015-07-30 00:00:00,HF00000ATF
0.882,2015-07-31 00:00:00,HF00000ATF
0.901,2015-08-06 00:00:00,HF00000ATF
0.908,2015-08-07 00:00:00,HF00000ATF
