value,date,id
1.0,2014-09-09 00:00:00,HF00000AVG
1.019916,2014-09-12 00:00:00,HF00000AVG
0.997623,2014-09-19 00:00:00,HF00000AVG
1.0546,2014-09-26 00:00:00,HF00000AVG
1.066716,2014-09-30 00:00:00,HF00000AVG
1.065631,2014-10-10 00:00:00,HF00000AVG
1.081231,2014-10-17 00:00:00,HF00000AVG
1.0579,2014-10-24 00:00:00,HF00000AVG
1.094,2014-10-31 00:00:00,HF00000AVG
1.1407,2014-11-07 00:00:00,HF00000AVG
1.1073,2014-11-14 00:00:00,HF00000AVG
1.1945,2014-11-21 00:00:00,HF00000AVG
1.2743,2014-11-28 00:00:00,HF00000AVG
1.3483,2014-12-05 00:00:00,HF00000AVG
1.4018,2014-12-12 00:00:00,HF00000AVG
1.5149,2014-12-19 00:00:00,HF00000AVG
1.5303,2014-12-26 00:00:00,HF00000AVG
1.366,2015-01-09 00:00:00,HF00000AVG
