value,date,id
1.0,2014-10-16 00:00:00,HF00000AVI
0.9999,2014-10-24 00:00:00,HF00000AVI
1.0024,2014-10-31 00:00:00,HF00000AVI
1.0032,2014-11-07 00:00:00,HF00000AVI
1.0082,2014-11-21 00:00:00,HF00000AVI
1.0223,2014-11-28 00:00:00,HF00000AVI
1.0988,2014-12-05 00:00:00,HF00000AVI
1.127,2014-12-12 00:00:00,HF00000AVI
1.0806,2014-12-19 00:00:00,HF00000AVI
1.0233,2014-12-26 00:00:00,HF00000AVI
0.9961,2014-12-31 00:00:00,HF00000AVI
0.9524,2015-01-09 00:00:00,HF00000AVI
0.9434,2015-01-16 00:00:00,HF00000AVI
0.9437,2015-01-23 00:00:00,HF00000AVI
0.9438,2015-01-30 00:00:00,HF00000AVI
0.9455,2015-02-06 00:00:00,HF00000AVI
0.9503,2015-02-27 00:00:00,HF00000AVI
0.9543,2015-03-06 00:00:00,HF00000AVI
0.9559,2015-03-13 00:00:00,HF00000AVI
0.9628,2015-03-20 00:00:00,HF00000AVI
0.9773,2015-03-27 00:00:00,HF00000AVI
1.0119,2015-04-03 00:00:00,HF00000AVI
1.0225,2015-04-10 00:00:00,HF00000AVI
1.0284,2015-04-24 00:00:00,HF00000AVI
1.0317,2015-04-30 00:00:00,HF00000AVI
1.0386,2015-05-08 00:00:00,HF00000AVI
1.0658,2015-05-15 00:00:00,HF00000AVI
1.1392,2015-05-22 00:00:00,HF00000AVI
1.1876,2015-05-29 00:00:00,HF00000AVI
1.3171,2015-06-05 00:00:00,HF00000AVI
1.2829,2015-06-12 00:00:00,HF00000AVI
1.1689,2015-06-19 00:00:00,HF00000AVI
1.175,2015-06-26 00:00:00,HF00000AVI
1.1578,2015-07-03 00:00:00,HF00000AVI
1.1656,2015-07-10 00:00:00,HF00000AVI
1.1678,2015-07-17 00:00:00,HF00000AVI
1.1751,2015-07-24 00:00:00,HF00000AVI
1.1749,2015-07-31 00:00:00,HF00000AVI
1.1775,2015-08-07 00:00:00,HF00000AVI
