value,date,id
1.0,2014-09-29 00:00:00,HF00000B44
1.0031,2014-10-10 00:00:00,HF00000B44
1.0049,2014-10-17 00:00:00,HF00000B44
1.0068,2014-10-24 00:00:00,HF00000B44
1.0086,2014-10-31 00:00:00,HF00000B44
1.0104,2014-11-07 00:00:00,HF00000B44
1.0122,2014-11-14 00:00:00,HF00000B44
1.0141,2014-11-21 00:00:00,HF00000B44
1.0159,2014-11-28 00:00:00,HF00000B44
1.0177,2014-12-05 00:00:00,HF00000B44
1.0195,2014-12-12 00:00:00,HF00000B44
1.0213,2014-12-19 00:00:00,HF00000B44
1.0232,2014-12-26 00:00:00,HF00000B44
1.0245,2014-12-31 00:00:00,HF00000B44
1.0268,2015-01-09 00:00:00,HF00000B44
1.0286,2015-01-16 00:00:00,HF00000B44
1.0305,2015-01-23 00:00:00,HF00000B44
1.0323,2015-01-30 00:00:00,HF00000B44
1.0341,2015-02-06 00:00:00,HF00000B44
1.0359,2015-02-13 00:00:00,HF00000B44
1.037,2015-02-17 00:00:00,HF00000B44
1.0396,2015-02-27 00:00:00,HF00000B44
1.0414,2015-03-06 00:00:00,HF00000B44
1.0432,2015-03-13 00:00:00,HF00000B44
1.045,2015-03-20 00:00:00,HF00000B44
1.0468,2015-03-27 00:00:00,HF00000B44
1.001,2015-04-03 00:00:00,HF00000B44
1.0029,2015-04-10 00:00:00,HF00000B44
1.0047,2015-04-17 00:00:00,HF00000B44
1.0065,2015-04-24 00:00:00,HF00000B44
1.0081,2015-04-30 00:00:00,HF00000B44
1.0102,2015-05-08 00:00:00,HF00000B44
1.012,2015-05-15 00:00:00,HF00000B44
1.0138,2015-05-22 00:00:00,HF00000B44
1.0156,2015-05-29 00:00:00,HF00000B44
1.0174,2015-06-05 00:00:00,HF00000B44
1.0193,2015-06-12 00:00:00,HF00000B44
1.0211,2015-06-19 00:00:00,HF00000B44
1.0229,2015-06-26 00:00:00,HF00000B44
1.0247,2015-07-03 00:00:00,HF00000B44
1.0265,2015-07-10 00:00:00,HF00000B44
1.0284,2015-07-17 00:00:00,HF00000B44
1.0302,2015-07-24 00:00:00,HF00000B44
1.032,2015-07-31 00:00:00,HF00000B44
