value,date,id
1.0,2014-12-08 00:00:00,HF00000BQ8
1.005,2014-12-31 00:00:00,HF00000BQ8
1.006,2015-01-09 00:00:00,HF00000BQ8
1.038,2015-01-16 00:00:00,HF00000BQ8
1.023,2015-01-23 00:00:00,HF00000BQ8
1.082,2015-01-30 00:00:00,HF00000BQ8
1.057,2015-02-06 00:00:00,HF00000BQ8
1.14,2015-02-13 00:00:00,HF00000BQ8
1.2,2015-02-27 00:00:00,HF00000BQ8
1.37,2015-03-13 00:00:00,HF00000BQ8
1.543,2015-03-20 00:00:00,HF00000BQ8
1.524,2015-03-27 00:00:00,HF00000BQ8
1.539,2015-04-03 00:00:00,HF00000BQ8
1.693,2015-04-24 00:00:00,HF00000BQ8
1.687,2015-04-30 00:00:00,HF00000BQ8
1.691,2015-05-08 00:00:00,HF00000BQ8
1.7,2015-05-15 00:00:00,HF00000BQ8
1.748,2015-05-22 00:00:00,HF00000BQ8
1.884,2015-05-29 00:00:00,HF00000BQ8
2.105,2015-06-05 00:00:00,HF00000BQ8
2.188,2015-06-12 00:00:00,HF00000BQ8
1.841,2015-06-19 00:00:00,HF00000BQ8
1.709,2015-06-25 00:00:00,HF00000BQ8
1.527,2015-06-26 00:00:00,HF00000BQ8
1.149,2015-07-03 00:00:00,HF00000BQ8
1.016,2015-07-10 00:00:00,HF00000BQ8
1.145,2015-07-24 00:00:00,HF00000BQ8
1.126,2015-07-31 00:00:00,HF00000BQ8
1.134,2015-08-07 00:00:00,HF00000BQ8
