value,date,id
1.0,2014-11-07 00:00:00,HF00000BQE
1.003444,2014-11-10 00:00:00,HF00000BQE
1.002622,2014-11-11 00:00:00,HF00000BQE
0.994915,2014-11-12 00:00:00,HF00000BQE
1.00206,2014-11-13 00:00:00,HF00000BQE
0.999771,2014-11-14 00:00:00,HF00000BQE
1.000543,2014-11-17 00:00:00,HF00000BQE
1.03532,2014-11-18 00:00:00,HF00000BQE
1.047334,2014-11-19 00:00:00,HF00000BQE
1.041077,2014-11-20 00:00:00,HF00000BQE
1.046568,2014-11-21 00:00:00,HF00000BQE
1.036918,2014-11-24 00:00:00,HF00000BQE
1.034965,2014-11-25 00:00:00,HF00000BQE
1.020766,2014-11-26 00:00:00,HF00000BQE
0.985544,2014-11-27 00:00:00,HF00000BQE
1.029246,2014-11-28 00:00:00,HF00000BQE
1.026102,2014-12-01 00:00:00,HF00000BQE
0.973523,2014-12-02 00:00:00,HF00000BQE
0.969887,2014-12-03 00:00:00,HF00000BQE
0.954218,2014-12-04 00:00:00,HF00000BQE
0.950233,2014-12-05 00:00:00,HF00000BQE
0.957089,2014-12-08 00:00:00,HF00000BQE
0.938984,2014-12-09 00:00:00,HF00000BQE
0.921647,2014-12-10 00:00:00,HF00000BQE
0.905752,2014-12-11 00:00:00,HF00000BQE
0.897571,2014-12-12 00:00:00,HF00000BQE
0.900766,2014-12-15 00:00:00,HF00000BQE
0.868901,2014-12-16 00:00:00,HF00000BQE
0.861063,2014-12-17 00:00:00,HF00000BQE
0.864058,2014-12-18 00:00:00,HF00000BQE
0.859293,2014-12-19 00:00:00,HF00000BQE
0.834372,2014-12-22 00:00:00,HF00000BQE
0.881562,2014-12-23 00:00:00,HF00000BQE
0.884956,2014-12-24 00:00:00,HF00000BQE
0.88479,2014-12-25 00:00:00,HF00000BQE
0.887885,2014-12-26 00:00:00,HF00000BQE
0.866362,2014-12-29 00:00:00,HF00000BQE
0.919499,2014-12-30 00:00:00,HF00000BQE
0.931453,2014-12-31 00:00:00,HF00000BQE
0.945416,2015-01-05 00:00:00,HF00000BQE
0.950325,2015-01-06 00:00:00,HF00000BQE
0.924094,2015-01-07 00:00:00,HF00000BQE
0.915153,2015-01-08 00:00:00,HF00000BQE
0.900576,2015-01-09 00:00:00,HF00000BQE
0.880024,2015-01-12 00:00:00,HF00000BQE
0.871039,2015-01-13 00:00:00,HF00000BQE
0.866047,2015-01-14 00:00:00,HF00000BQE
0.85897,2015-01-15 00:00:00,HF00000BQE
0.859213,2015-01-16 00:00:00,HF00000BQE
0.842642,2015-01-19 00:00:00,HF00000BQE
0.837347,2015-01-20 00:00:00,HF00000BQE
0.82104,2015-01-21 00:00:00,HF00000BQE
0.83123,2015-01-22 00:00:00,HF00000BQE
0.810972,2015-01-23 00:00:00,HF00000BQE
0.796682,2015-01-26 00:00:00,HF00000BQE
0.798076,2015-01-27 00:00:00,HF00000BQE
0.788667,2015-01-28 00:00:00,HF00000BQE
0.801071,2015-01-29 00:00:00,HF00000BQE
0.799401,2015-01-30 00:00:00,HF00000BQE
0.7847,2015-02-02 00:00:00,HF00000BQE
0.788254,2015-02-03 00:00:00,HF00000BQE
0.800655,2015-02-04 00:00:00,HF00000BQE
0.792818,2015-02-05 00:00:00,HF00000BQE
0.803921,2015-02-06 00:00:00,HF00000BQE
0.79774,2015-02-09 00:00:00,HF00000BQE
0.803597,2015-02-10 00:00:00,HF00000BQE
0.803387,2015-02-11 00:00:00,HF00000BQE
0.799745,2015-02-12 00:00:00,HF00000BQE
0.826039,2015-02-13 00:00:00,HF00000BQE
