value,date,id
1.0,2014-11-11 00:00:00,HF00000BQT
1.0,2014-11-12 00:00:00,HF00000BQT
1.0,2014-11-13 00:00:00,HF00000BQT
0.9999,2014-11-14 00:00:00,HF00000BQT
0.9999,2014-11-17 00:00:00,HF00000BQT
0.9999,2014-11-18 00:00:00,HF00000BQT
0.9999,2014-11-19 00:00:00,HF00000BQT
0.9999,2014-11-20 00:00:00,HF00000BQT
0.9999,2014-11-21 00:00:00,HF00000BQT
1.0002,2014-11-24 00:00:00,HF00000BQT
1.0004,2014-11-25 00:00:00,HF00000BQT
1.0007,2014-11-26 00:00:00,HF00000BQT
1.0009,2014-11-27 00:00:00,HF00000BQT
1.0013,2014-11-28 00:00:00,HF00000BQT
1.0011,2014-12-01 00:00:00,HF00000BQT
1.0025,2014-12-02 00:00:00,HF00000BQT
1.0027,2014-12-03 00:00:00,HF00000BQT
1.0046,2014-12-04 00:00:00,HF00000BQT
1.0048,2014-12-05 00:00:00,HF00000BQT
1.0064,2014-12-08 00:00:00,HF00000BQT
1.0045,2014-12-09 00:00:00,HF00000BQT
1.0054,2014-12-10 00:00:00,HF00000BQT
1.005,2014-12-11 00:00:00,HF00000BQT
1.0053,2014-12-12 00:00:00,HF00000BQT
1.0057,2014-12-15 00:00:00,HF00000BQT
1.0077,2014-12-16 00:00:00,HF00000BQT
1.0087,2014-12-17 00:00:00,HF00000BQT
1.0087,2014-12-18 00:00:00,HF00000BQT
1.0098,2014-12-19 00:00:00,HF00000BQT
1.0109,2014-12-22 00:00:00,HF00000BQT
1.0096,2014-12-23 00:00:00,HF00000BQT
1.0079,2014-12-24 00:00:00,HF00000BQT
1.0103,2014-12-25 00:00:00,HF00000BQT
1.0131,2014-12-26 00:00:00,HF00000BQT
1.0128,2014-12-29 00:00:00,HF00000BQT
1.0146,2014-12-30 00:00:00,HF00000BQT
1.0171,2014-12-31 00:00:00,HF00000BQT
1.0208,2015-01-05 00:00:00,HF00000BQT
1.0206,2015-01-06 00:00:00,HF00000BQT
1.0217,2015-01-07 00:00:00,HF00000BQT
1.021,2015-01-08 00:00:00,HF00000BQT
1.022,2015-01-09 00:00:00,HF00000BQT
1.021,2015-01-12 00:00:00,HF00000BQT
1.0221,2015-01-13 00:00:00,HF00000BQT
1.0218,2015-01-14 00:00:00,HF00000BQT
1.0258,2015-01-15 00:00:00,HF00000BQT
1.0276,2015-01-16 00:00:00,HF00000BQT
1.0205,2015-01-19 00:00:00,HF00000BQT
1.0238,2015-01-20 00:00:00,HF00000BQT
1.0299,2015-01-21 00:00:00,HF00000BQT
1.0331,2015-01-22 00:00:00,HF00000BQT
1.0335,2015-01-23 00:00:00,HF00000BQT
1.0366,2015-01-26 00:00:00,HF00000BQT
1.0373,2015-01-27 00:00:00,HF00000BQT
1.0361,2015-01-28 00:00:00,HF00000BQT
1.0375,2015-01-29 00:00:00,HF00000BQT
1.0384,2015-01-30 00:00:00,HF00000BQT
1.0367,2015-02-02 00:00:00,HF00000BQT
1.0418,2015-02-03 00:00:00,HF00000BQT
1.048,2015-02-04 00:00:00,HF00000BQT
1.0436,2015-02-05 00:00:00,HF00000BQT
1.0387,2015-02-06 00:00:00,HF00000BQT
1.0279,2015-02-09 00:00:00,HF00000BQT
1.029,2015-02-10 00:00:00,HF00000BQT
1.0285,2015-02-11 00:00:00,HF00000BQT
1.0304,2015-02-12 00:00:00,HF00000BQT
1.0324,2015-02-13 00:00:00,HF00000BQT
1.0338,2015-02-16 00:00:00,HF00000BQT
1.0339,2015-02-17 00:00:00,HF00000BQT
1.0381,2015-02-25 00:00:00,HF00000BQT
1.0408,2015-02-26 00:00:00,HF00000BQT
1.0416,2015-02-27 00:00:00,HF00000BQT
1.0436,2015-03-02 00:00:00,HF00000BQT
1.0415,2015-03-03 00:00:00,HF00000BQT
1.0437,2015-03-04 00:00:00,HF00000BQT
1.044,2015-03-05 00:00:00,HF00000BQT
1.0432,2015-03-06 00:00:00,HF00000BQT
1.044,2015-03-09 00:00:00,HF00000BQT
1.0485,2015-03-10 00:00:00,HF00000BQT
1.0477,2015-03-11 00:00:00,HF00000BQT
1.048,2015-03-12 00:00:00,HF00000BQT
1.0517,2015-03-13 00:00:00,HF00000BQT
1.0574,2015-03-16 00:00:00,HF00000BQT
1.0618,2015-03-17 00:00:00,HF00000BQT
1.0674,2015-03-18 00:00:00,HF00000BQT
1.0756,2015-03-19 00:00:00,HF00000BQT
1.0757,2015-03-20 00:00:00,HF00000BQT
1.0671,2015-03-23 00:00:00,HF00000BQT
1.0668,2015-03-24 00:00:00,HF00000BQT
1.0646,2015-03-25 00:00:00,HF00000BQT
1.0689,2015-03-26 00:00:00,HF00000BQT
1.0724,2015-03-27 00:00:00,HF00000BQT
1.0761,2015-03-30 00:00:00,HF00000BQT
1.0759,2015-03-31 00:00:00,HF00000BQT
1.0821,2015-04-01 00:00:00,HF00000BQT
1.0876,2015-04-02 00:00:00,HF00000BQT
1.0922,2015-04-03 00:00:00,HF00000BQT
1.0985,2015-04-07 00:00:00,HF00000BQT
1.0953,2015-04-08 00:00:00,HF00000BQT
1.092,2015-04-09 00:00:00,HF00000BQT
1.0993,2015-04-10 00:00:00,HF00000BQT
1.104,2015-04-13 00:00:00,HF00000BQT
