value,date,id
1.0,2014-11-12 00:00:00,HF00000BRV
1.0022,2014-11-28 00:00:00,HF00000BRV
1.0128,2014-12-05 00:00:00,HF00000BRV
1.0063,2014-12-12 00:00:00,HF00000BRV
1.0112,2014-12-19 00:00:00,HF00000BRV
1.0139,2014-12-26 00:00:00,HF00000BRV
1.013,2014-12-31 00:00:00,HF00000BRV
1.0228,2015-01-09 00:00:00,HF00000BRV
1.0387,2015-01-16 00:00:00,HF00000BRV
1.0299,2015-01-23 00:00:00,HF00000BRV
1.0328,2015-01-30 00:00:00,HF00000BRV
1.0228,2015-02-06 00:00:00,HF00000BRV
1.0309,2015-02-13 00:00:00,HF00000BRV
1.0156,2015-02-27 00:00:00,HF00000BRV
1.0134,2015-03-06 00:00:00,HF00000BRV
1.0173,2015-03-13 00:00:00,HF00000BRV
1.0176,2015-03-20 00:00:00,HF00000BRV
1.018,2015-03-27 00:00:00,HF00000BRV
1.0179,2015-04-03 00:00:00,HF00000BRV
1.0183,2015-04-10 00:00:00,HF00000BRV
1.0175,2015-04-17 00:00:00,HF00000BRV
1.0186,2015-04-24 00:00:00,HF00000BRV
1.0184,2015-04-30 00:00:00,HF00000BRV
1.0187,2015-05-08 00:00:00,HF00000BRV
1.1052,2015-05-15 00:00:00,HF00000BRV
