value,date,id
1.0,2014-11-04 00:00:00,HF00000C1X
0.995,2014-12-19 00:00:00,HF00000C1X
0.996,2014-12-31 00:00:00,HF00000C1X
1.012,2015-01-09 00:00:00,HF00000C1X
1.024,2015-01-16 00:00:00,HF00000C1X
1.069,2015-01-23 00:00:00,HF00000C1X
1.096,2015-01-30 00:00:00,HF00000C1X
1.127,2015-02-05 00:00:00,HF00000C1X
1.148,2015-02-10 00:00:00,HF00000C1X
1.283,2015-02-27 00:00:00,HF00000C1X
1.383,2015-03-09 00:00:00,HF00000C1X
1.427,2015-03-13 00:00:00,HF00000C1X
1.473,2015-03-16 00:00:00,HF00000C1X
1.967,2015-03-27 00:00:00,HF00000C1X
2.228,2015-04-03 00:00:00,HF00000C1X
2.388,2015-04-10 00:00:00,HF00000C1X
2.382,2015-04-17 00:00:00,HF00000C1X
2.569,2015-04-24 00:00:00,HF00000C1X
2.705,2015-04-30 00:00:00,HF00000C1X
2.682,2015-05-08 00:00:00,HF00000C1X
2.863,2015-05-15 00:00:00,HF00000C1X
3.267,2015-05-22 00:00:00,HF00000C1X
3.48,2015-05-29 00:00:00,HF00000C1X
4.306,2015-06-05 00:00:00,HF00000C1X
4.556,2015-06-15 00:00:00,HF00000C1X
4.111,2015-06-19 00:00:00,HF00000C1X
