value,date,id
1.0,2014-09-29 00:00:00,HF00000CBW
1.0171,2014-10-10 00:00:00,HF00000CBW
1.0908,2014-10-17 00:00:00,HF00000CBW
1.1192,2014-10-24 00:00:00,HF00000CBW
1.1798,2014-10-31 00:00:00,HF00000CBW
1.2526,2014-11-07 00:00:00,HF00000CBW
1.1931,2014-11-14 00:00:00,HF00000CBW
1.1898,2014-11-21 00:00:00,HF00000CBW
1.2449,2014-11-28 00:00:00,HF00000CBW
1.1065,2014-12-05 00:00:00,HF00000CBW
1.0037,2014-12-12 00:00:00,HF00000CBW
0.983,2014-12-19 00:00:00,HF00000CBW
1.1151,2014-12-26 00:00:00,HF00000CBW
1.097,2014-12-31 00:00:00,HF00000CBW
1.0951,2015-01-09 00:00:00,HF00000CBW
1.131,2015-01-16 00:00:00,HF00000CBW
1.1693,2015-01-23 00:00:00,HF00000CBW
1.1584,2015-01-30 00:00:00,HF00000CBW
1.161,2015-02-06 00:00:00,HF00000CBW
1.0571,2015-02-13 00:00:00,HF00000CBW
1.1237,2015-02-27 00:00:00,HF00000CBW
1.1115,2015-03-06 00:00:00,HF00000CBW
1.1343,2015-03-13 00:00:00,HF00000CBW
1.1473,2015-03-20 00:00:00,HF00000CBW
1.1277,2015-03-27 00:00:00,HF00000CBW
1.1103,2015-04-03 00:00:00,HF00000CBW
1.1005,2015-04-10 00:00:00,HF00000CBW
1.1444,2015-04-17 00:00:00,HF00000CBW
1.1663,2015-04-24 00:00:00,HF00000CBW
1.1663,2015-04-30 00:00:00,HF00000CBW
1.2168,2015-05-08 00:00:00,HF00000CBW
1.2231,2015-05-15 00:00:00,HF00000CBW
1.2456,2015-05-22 00:00:00,HF00000CBW
1.2189,2015-05-29 00:00:00,HF00000CBW
1.202,2015-06-05 00:00:00,HF00000CBW
1.1587,2015-06-12 00:00:00,HF00000CBW
1.1479,2015-06-19 00:00:00,HF00000CBW
1.146,2015-06-26 00:00:00,HF00000CBW
1.1363,2015-07-03 00:00:00,HF00000CBW
1.0,2015-07-10 00:00:00,HF00000CBW
1.0,2015-07-17 00:00:00,HF00000CBW
1.2272,2015-07-24 00:00:00,HF00000CBW
1.2463,2015-07-31 00:00:00,HF00000CBW
1.2925,2015-08-06 00:00:00,HF00000CBW
1.312,2015-08-14 00:00:00,HF00000CBW
