value,date,id
1.0,2014-06-25 00:00:00,HF00000CCW
1.0002,2014-11-18 00:00:00,HF00000CCW
1.0004,2014-11-19 00:00:00,HF00000CCW
1.0006,2014-11-20 00:00:00,HF00000CCW
1.0015,2014-11-24 00:00:00,HF00000CCW
1.0017,2014-11-25 00:00:00,HF00000CCW
1.0019,2014-11-26 00:00:00,HF00000CCW
1.0021,2014-11-27 00:00:00,HF00000CCW
1.0024,2014-11-28 00:00:00,HF00000CCW
1.003,2014-12-01 00:00:00,HF00000CCW
1.0032,2014-12-02 00:00:00,HF00000CCW
1.0034,2014-12-03 00:00:00,HF00000CCW
1.0036,2014-12-04 00:00:00,HF00000CCW
1.0038,2014-12-05 00:00:00,HF00000CCW
1.0045,2014-12-08 00:00:00,HF00000CCW
1.0047,2014-12-09 00:00:00,HF00000CCW
1.0049,2014-12-10 00:00:00,HF00000CCW
1.0051,2014-12-11 00:00:00,HF00000CCW
1.0053,2014-12-12 00:00:00,HF00000CCW
1.006,2014-12-15 00:00:00,HF00000CCW
1.0062,2014-12-16 00:00:00,HF00000CCW
1.0064,2014-12-17 00:00:00,HF00000CCW
1.0066,2014-12-18 00:00:00,HF00000CCW
1.0068,2014-12-19 00:00:00,HF00000CCW
1.0075,2014-12-22 00:00:00,HF00000CCW
1.0006,2014-12-23 00:00:00,HF00000CCW
1.0008,2014-12-24 00:00:00,HF00000CCW
1.001,2014-12-25 00:00:00,HF00000CCW
1.0012,2014-12-26 00:00:00,HF00000CCW
1.0019,2014-12-29 00:00:00,HF00000CCW
1.0021,2014-12-30 00:00:00,HF00000CCW
1.0023,2014-12-31 00:00:00,HF00000CCW
1.0034,2015-01-05 00:00:00,HF00000CCW
1.0036,2015-01-06 00:00:00,HF00000CCW
1.0038,2015-01-07 00:00:00,HF00000CCW
1.004,2015-01-08 00:00:00,HF00000CCW
1.0042,2015-01-09 00:00:00,HF00000CCW
1.0049,2015-01-12 00:00:00,HF00000CCW
1.0051,2015-01-13 00:00:00,HF00000CCW
1.0053,2015-01-14 00:00:00,HF00000CCW
1.0055,2015-01-15 00:00:00,HF00000CCW
1.0057,2015-01-16 00:00:00,HF00000CCW
1.0064,2015-01-19 00:00:00,HF00000CCW
1.0066,2015-01-20 00:00:00,HF00000CCW
1.0068,2015-01-21 00:00:00,HF00000CCW
1.007,2015-01-22 00:00:00,HF00000CCW
1.0072,2015-01-23 00:00:00,HF00000CCW
1.0079,2015-01-26 00:00:00,HF00000CCW
1.0081,2015-01-27 00:00:00,HF00000CCW
1.0083,2015-01-28 00:00:00,HF00000CCW
1.0085,2015-01-29 00:00:00,HF00000CCW
1.0087,2015-01-30 00:00:00,HF00000CCW
1.0094,2015-02-02 00:00:00,HF00000CCW
1.0096,2015-02-03 00:00:00,HF00000CCW
1.0098,2015-02-04 00:00:00,HF00000CCW
1.01,2015-02-05 00:00:00,HF00000CCW
1.0102,2015-02-06 00:00:00,HF00000CCW
1.0109,2015-02-09 00:00:00,HF00000CCW
1.0111,2015-02-10 00:00:00,HF00000CCW
1.0113,2015-02-11 00:00:00,HF00000CCW
1.0115,2015-02-12 00:00:00,HF00000CCW
1.0117,2015-02-13 00:00:00,HF00000CCW
1.0123,2015-02-16 00:00:00,HF00000CCW
1.0126,2015-02-17 00:00:00,HF00000CCW
1.0143,2015-02-25 00:00:00,HF00000CCW
1.0145,2015-02-26 00:00:00,HF00000CCW
1.0147,2015-02-27 00:00:00,HF00000CCW
1.0153,2015-03-02 00:00:00,HF00000CCW
1.0156,2015-03-03 00:00:00,HF00000CCW
1.0158,2015-03-04 00:00:00,HF00000CCW
1.016,2015-03-05 00:00:00,HF00000CCW
1.0162,2015-03-06 00:00:00,HF00000CCW
1.0168,2015-03-09 00:00:00,HF00000CCW
1.017,2015-03-10 00:00:00,HF00000CCW
1.0173,2015-03-11 00:00:00,HF00000CCW
1.0175,2015-03-12 00:00:00,HF00000CCW
1.0177,2015-03-13 00:00:00,HF00000CCW
1.0183,2015-03-16 00:00:00,HF00000CCW
1.0185,2015-03-17 00:00:00,HF00000CCW
1.0188,2015-03-18 00:00:00,HF00000CCW
1.019,2015-03-19 00:00:00,HF00000CCW
1.0192,2015-03-20 00:00:00,HF00000CCW
1.0198,2015-03-23 00:00:00,HF00000CCW
1.0008,2015-03-24 00:00:00,HF00000CCW
1.0011,2015-03-25 00:00:00,HF00000CCW
1.0013,2015-03-26 00:00:00,HF00000CCW
1.0015,2015-03-27 00:00:00,HF00000CCW
1.0021,2015-03-30 00:00:00,HF00000CCW
1.0023,2015-03-31 00:00:00,HF00000CCW
1.0025,2015-04-01 00:00:00,HF00000CCW
1.0028,2015-04-02 00:00:00,HF00000CCW
1.003,2015-04-03 00:00:00,HF00000CCW
1.0038,2015-04-07 00:00:00,HF00000CCW
1.004,2015-04-08 00:00:00,HF00000CCW
1.0043,2015-04-09 00:00:00,HF00000CCW
1.0045,2015-04-10 00:00:00,HF00000CCW
1.0051,2015-04-13 00:00:00,HF00000CCW
1.0053,2015-04-14 00:00:00,HF00000CCW
1.0055,2015-04-15 00:00:00,HF00000CCW
1.0058,2015-04-16 00:00:00,HF00000CCW
1.006,2015-04-17 00:00:00,HF00000CCW
1.0066,2015-04-20 00:00:00,HF00000CCW
1.0068,2015-04-21 00:00:00,HF00000CCW
1.007,2015-04-22 00:00:00,HF00000CCW
1.0073,2015-04-23 00:00:00,HF00000CCW
1.0075,2015-04-24 00:00:00,HF00000CCW
1.0081,2015-04-27 00:00:00,HF00000CCW
1.0083,2015-04-28 00:00:00,HF00000CCW
1.0085,2015-04-29 00:00:00,HF00000CCW
1.0087,2015-04-30 00:00:00,HF00000CCW
1.0096,2015-05-04 00:00:00,HF00000CCW
1.0098,2015-05-05 00:00:00,HF00000CCW
1.01,2015-05-06 00:00:00,HF00000CCW
1.0102,2015-05-07 00:00:00,HF00000CCW
1.0105,2015-05-08 00:00:00,HF00000CCW
1.0111,2015-05-11 00:00:00,HF00000CCW
1.0113,2015-05-12 00:00:00,HF00000CCW
1.0115,2015-05-13 00:00:00,HF00000CCW
1.0117,2015-05-14 00:00:00,HF00000CCW
1.012,2015-05-15 00:00:00,HF00000CCW
1.0126,2015-05-18 00:00:00,HF00000CCW
1.0128,2015-05-19 00:00:00,HF00000CCW
1.013,2015-05-20 00:00:00,HF00000CCW
1.0132,2015-05-21 00:00:00,HF00000CCW
1.0134,2015-05-22 00:00:00,HF00000CCW
1.0141,2015-05-25 00:00:00,HF00000CCW
1.0143,2015-05-26 00:00:00,HF00000CCW
1.0145,2015-05-27 00:00:00,HF00000CCW
1.0147,2015-05-28 00:00:00,HF00000CCW
1.0149,2015-05-29 00:00:00,HF00000CCW
1.0156,2015-06-01 00:00:00,HF00000CCW
1.0158,2015-06-02 00:00:00,HF00000CCW
1.016,2015-06-03 00:00:00,HF00000CCW
1.0162,2015-06-04 00:00:00,HF00000CCW
1.0164,2015-06-05 00:00:00,HF00000CCW
1.0171,2015-06-08 00:00:00,HF00000CCW
1.0173,2015-06-09 00:00:00,HF00000CCW
1.0175,2015-06-10 00:00:00,HF00000CCW
1.0177,2015-06-11 00:00:00,HF00000CCW
1.0179,2015-06-12 00:00:00,HF00000CCW
1.0186,2015-06-15 00:00:00,HF00000CCW
1.0188,2015-06-16 00:00:00,HF00000CCW
1.019,2015-06-17 00:00:00,HF00000CCW
1.0192,2015-06-18 00:00:00,HF00000CCW
1.0194,2015-06-19 00:00:00,HF00000CCW
1.0203,2015-06-23 00:00:00,HF00000CCW
1.0205,2015-06-24 00:00:00,HF00000CCW
1.0207,2015-06-25 00:00:00,HF00000CCW
1.020904,2015-06-26 00:00:00,HF00000CCW
1.021618,2015-06-29 00:00:00,HF00000CCW
1.021822,2015-06-30 00:00:00,HF00000CCW
1.022026,2015-07-01 00:00:00,HF00000CCW
1.02223,2015-07-02 00:00:00,HF00000CCW
1.022434,2015-07-03 00:00:00,HF00000CCW
1.023148,2015-07-06 00:00:00,HF00000CCW
1.023352,2015-07-07 00:00:00,HF00000CCW
1.023556,2015-07-08 00:00:00,HF00000CCW
1.02376,2015-07-09 00:00:00,HF00000CCW
1.023964,2015-07-10 00:00:00,HF00000CCW
1.024678,2015-07-13 00:00:00,HF00000CCW
1.024882,2015-07-14 00:00:00,HF00000CCW
1.025086,2015-07-15 00:00:00,HF00000CCW
1.02529,2015-07-16 00:00:00,HF00000CCW
1.025494,2015-07-17 00:00:00,HF00000CCW
1.026208,2015-07-20 00:00:00,HF00000CCW
1.026412,2015-07-21 00:00:00,HF00000CCW
1.026616,2015-07-22 00:00:00,HF00000CCW
1.02682,2015-07-23 00:00:00,HF00000CCW
1.027024,2015-07-24 00:00:00,HF00000CCW
1.027738,2015-07-27 00:00:00,HF00000CCW
1.027942,2015-07-28 00:00:00,HF00000CCW
1.028146,2015-07-29 00:00:00,HF00000CCW
