value,date,id
1.0,2014-11-27 00:00:00,HF00000CFO
1.0132,2015-02-27 00:00:00,HF00000CFO
1.0146,2015-03-06 00:00:00,HF00000CFO
1.016,2015-03-13 00:00:00,HF00000CFO
1.0174,2015-03-20 00:00:00,HF00000CFO
1.0028,2015-03-27 00:00:00,HF00000CFO
1.0041,2015-04-03 00:00:00,HF00000CFO
1.0055,2015-04-10 00:00:00,HF00000CFO
1.0069,2015-04-17 00:00:00,HF00000CFO
1.0083,2015-04-24 00:00:00,HF00000CFO
1.0095,2015-04-30 00:00:00,HF00000CFO
1.0111,2015-05-08 00:00:00,HF00000CFO
1.0124,2015-05-15 00:00:00,HF00000CFO
1.0138,2015-05-22 00:00:00,HF00000CFO
1.0152,2015-05-29 00:00:00,HF00000CFO
1.0166,2015-06-05 00:00:00,HF00000CFO
1.018,2015-06-12 00:00:00,HF00000CFO
1.0193,2015-06-19 00:00:00,HF00000CFO
1.0006,2015-06-26 00:00:00,HF00000CFO
1.002,2015-07-03 00:00:00,HF00000CFO
1.0034,2015-07-10 00:00:00,HF00000CFO
1.0048,2015-07-17 00:00:00,HF00000CFO
1.0061,2015-07-24 00:00:00,HF00000CFO
1.0075,2015-07-31 00:00:00,HF00000CFO
