value,date,id
1.0,2014-11-18 00:00:00,HF00000CJM
1.0008,2014-11-21 00:00:00,HF00000CJM
1.0021,2014-11-28 00:00:00,HF00000CJM
1.0035,2014-12-05 00:00:00,HF00000CJM
1.0049,2014-12-12 00:00:00,HF00000CJM
1.0063,2014-12-19 00:00:00,HF00000CJM
1.007607,2014-12-26 00:00:00,HF00000CJM
1.010422,2015-01-09 00:00:00,HF00000CJM
1.011729,2015-01-16 00:00:00,HF00000CJM
1.013137,2015-01-23 00:00:00,HF00000CJM
1.014444,2015-01-30 00:00:00,HF00000CJM
1.015852,2015-02-06 00:00:00,HF00000CJM
1.01726,2015-02-13 00:00:00,HF00000CJM
1.019975,2015-02-27 00:00:00,HF00000CJM
1.021383,2015-03-06 00:00:00,HF00000CJM
1.02269,2015-03-13 00:00:00,HF00000CJM
1.023997,2015-03-20 00:00:00,HF00000CJM
1.025327,2015-03-27 00:00:00,HF00000CJM
1.026759,2015-04-03 00:00:00,HF00000CJM
1.028191,2015-04-10 00:00:00,HF00000CJM
1.029521,2015-04-17 00:00:00,HF00000CJM
1.030953,2015-04-24 00:00:00,HF00000CJM
1.033716,2015-05-08 00:00:00,HF00000CJM
1.035148,2015-05-15 00:00:00,HF00000CJM
1.036478,2015-05-22 00:00:00,HF00000CJM
1.03791,2015-05-29 00:00:00,HF00000CJM
1.039342,2015-06-05 00:00:00,HF00000CJM
1.040672,2015-06-12 00:00:00,HF00000CJM
1.042104,2015-06-19 00:00:00,HF00000CJM
1.043458,2015-06-26 00:00:00,HF00000CJM
1.044916,2015-07-03 00:00:00,HF00000CJM
1.046374,2015-07-10 00:00:00,HF00000CJM
1.047728,2015-07-17 00:00:00,HF00000CJM
1.049186,2015-07-24 00:00:00,HF00000CJM
1.05054,2015-07-31 00:00:00,HF00000CJM
