value,date,id
1.0,2014-09-15 00:00:00,HF00000COZ
0.969596,2014-09-16 00:00:00,HF00000COZ
0.955917,2014-09-17 00:00:00,HF00000COZ
1.034636,2014-09-18 00:00:00,HF00000COZ
1.095996,2014-09-19 00:00:00,HF00000COZ
1.326165,2014-09-22 00:00:00,HF00000COZ
1.372102,2014-09-23 00:00:00,HF00000COZ
1.36822,2014-09-24 00:00:00,HF00000COZ
1.26073,2014-09-25 00:00:00,HF00000COZ
1.216518,2014-09-26 00:00:00,HF00000COZ
1.299301,2014-09-29 00:00:00,HF00000COZ
1.268563,2014-09-30 00:00:00,HF00000COZ
1.649491,2014-10-08 00:00:00,HF00000COZ
1.794395,2014-10-09 00:00:00,HF00000COZ
2.046845,2014-10-10 00:00:00,HF00000COZ
2.069747,2014-10-13 00:00:00,HF00000COZ
1.967886,2014-10-14 00:00:00,HF00000COZ
1.9565,2014-10-15 00:00:00,HF00000COZ
2.14486,2014-10-16 00:00:00,HF00000COZ
2.19671,2014-10-17 00:00:00,HF00000COZ
2.136795,2014-10-20 00:00:00,HF00000COZ
2.18593,2014-10-21 00:00:00,HF00000COZ
2.048673,2014-10-22 00:00:00,HF00000COZ
2.125641,2014-10-23 00:00:00,HF00000COZ
1.979256,2014-10-24 00:00:00,HF00000COZ
2.014503,2014-10-27 00:00:00,HF00000COZ
1.964078,2014-10-28 00:00:00,HF00000COZ
1.921521,2014-10-29 00:00:00,HF00000COZ
1.84001,2014-10-30 00:00:00,HF00000COZ
1.944166,2014-10-31 00:00:00,HF00000COZ
2.045781,2014-11-03 00:00:00,HF00000COZ
2.156467,2014-11-04 00:00:00,HF00000COZ
2.223545,2014-11-05 00:00:00,HF00000COZ
2.250171,2014-11-06 00:00:00,HF00000COZ
2.169576,2014-11-07 00:00:00,HF00000COZ
1.970165,2014-11-10 00:00:00,HF00000COZ
2.034727,2014-11-11 00:00:00,HF00000COZ
2.012252,2014-11-12 00:00:00,HF00000COZ
1.941248,2014-11-13 00:00:00,HF00000COZ
1.994358,2014-11-14 00:00:00,HF00000COZ
2.002325,2014-11-17 00:00:00,HF00000COZ
2.21094,2014-11-18 00:00:00,HF00000COZ
2.160207,2014-11-19 00:00:00,HF00000COZ
2.106174,2014-11-20 00:00:00,HF00000COZ
2.070307,2014-11-21 00:00:00,HF00000COZ
2.021635,2014-11-24 00:00:00,HF00000COZ
2.151717,2014-11-25 00:00:00,HF00000COZ
2.234187,2014-11-26 00:00:00,HF00000COZ
2.227874,2014-11-27 00:00:00,HF00000COZ
2.561287,2014-11-28 00:00:00,HF00000COZ
3.171948,2014-12-01 00:00:00,HF00000COZ
2.859476,2014-12-02 00:00:00,HF00000COZ
2.965516,2014-12-03 00:00:00,HF00000COZ
2.904962,2014-12-04 00:00:00,HF00000COZ
2.91441,2014-12-05 00:00:00,HF00000COZ
3.04822,2014-12-08 00:00:00,HF00000COZ
