value,date,id
1.0,2014-09-26 00:00:00,HF00000CQ3
1.012,2014-09-30 00:00:00,HF00000CQ3
1.036,2014-10-10 00:00:00,HF00000CQ3
1.083,2014-10-17 00:00:00,HF00000CQ3
1.124,2014-10-24 00:00:00,HF00000CQ3
1.185,2014-10-31 00:00:00,HF00000CQ3
1.235,2014-11-07 00:00:00,HF00000CQ3
1.214,2014-11-14 00:00:00,HF00000CQ3
1.193,2014-11-21 00:00:00,HF00000CQ3
1.381,2014-11-28 00:00:00,HF00000CQ3
1.454,2014-12-03 00:00:00,HF00000CQ3
1.592,2014-12-05 00:00:00,HF00000CQ3
1.623,2014-12-08 00:00:00,HF00000CQ3
1.667,2014-12-12 00:00:00,HF00000CQ3
1.674,2014-12-19 00:00:00,HF00000CQ3
1.674,2014-12-26 00:00:00,HF00000CQ3
1.695,2014-12-31 00:00:00,HF00000CQ3
1.704,2015-01-09 00:00:00,HF00000CQ3
1.767,2015-01-16 00:00:00,HF00000CQ3
