value,date,id
1.0,2014-11-03 00:00:00,HF00000CQI
1.0,2014-11-10 00:00:00,HF00000CQI
1.0561,2014-11-17 00:00:00,HF00000CQI
1.1168,2014-11-24 00:00:00,HF00000CQI
1.2618,2014-12-01 00:00:00,HF00000CQI
1.8035,2014-12-08 00:00:00,HF00000CQI
2.0143,2014-12-22 00:00:00,HF00000CQI
2.1643,2014-12-29 00:00:00,HF00000CQI
2.3525,2014-12-31 00:00:00,HF00000CQI
2.4962,2015-01-05 00:00:00,HF00000CQI
2.259,2015-01-12 00:00:00,HF00000CQI
2.0694,2015-01-19 00:00:00,HF00000CQI
2.3005,2015-01-26 00:00:00,HF00000CQI
1.9499,2015-02-02 00:00:00,HF00000CQI
1.9514,2015-02-09 00:00:00,HF00000CQI
2.0887,2015-02-16 00:00:00,HF00000CQI
2.0245,2015-02-25 00:00:00,HF00000CQI
2.4356,2015-03-30 00:00:00,HF00000CQI
2.5769,2015-04-01 00:00:00,HF00000CQI
2.6295,2015-04-07 00:00:00,HF00000CQI
2.8056,2015-04-13 00:00:00,HF00000CQI
3.0685,2015-04-20 00:00:00,HF00000CQI
3.242,2015-04-27 00:00:00,HF00000CQI
3.4009,2015-05-04 00:00:00,HF00000CQI
3.1739,2015-05-11 00:00:00,HF00000CQI
3.0838,2015-05-15 00:00:00,HF00000CQI
3.1647,2015-05-22 00:00:00,HF00000CQI
3.1682,2015-05-25 00:00:00,HF00000CQI
3.1679,2015-06-01 00:00:00,HF00000CQI
