value,date,id
1.0,2014-12-01 00:00:00,HF00000CVB
1.013,2015-01-05 00:00:00,HF00000CVB
1.007,2015-01-09 00:00:00,HF00000CVB
1.015,2015-01-16 00:00:00,HF00000CVB
1.027,2015-01-23 00:00:00,HF00000CVB
1.024,2015-01-30 00:00:00,HF00000CVB
1.007,2015-02-06 00:00:00,HF00000CVB
1.037,2015-02-13 00:00:00,HF00000CVB
1.063,2015-02-27 00:00:00,HF00000CVB
1.049,2015-03-06 00:00:00,HF00000CVB
1.086,2015-03-13 00:00:00,HF00000CVB
1.149,2015-03-20 00:00:00,HF00000CVB
1.173,2015-03-27 00:00:00,HF00000CVB
1.224,2015-04-03 00:00:00,HF00000CVB
1.213,2015-04-10 00:00:00,HF00000CVB
1.229,2015-04-17 00:00:00,HF00000CVB
1.284,2015-04-24 00:00:00,HF00000CVB
1.3,2015-04-30 00:00:00,HF00000CVB
1.319,2015-05-08 00:00:00,HF00000CVB
1.558,2015-05-29 00:00:00,HF00000CVB
1.735,2015-06-12 00:00:00,HF00000CVB
1.37,2015-06-26 00:00:00,HF00000CVB
1.289,2015-07-15 00:00:00,HF00000CVB
1.294,2015-07-17 00:00:00,HF00000CVB
1.296,2015-07-24 00:00:00,HF00000CVB
1.274,2015-07-31 00:00:00,HF00000CVB
1.273,2015-08-07 00:00:00,HF00000CVB
