value,date,id
1.0,2014-10-21 00:00:00,HF00000CVJ
0.999,2014-10-31 00:00:00,HF00000CVJ
1.004,2014-11-21 00:00:00,HF00000CVJ
1.008,2014-11-28 00:00:00,HF00000CVJ
0.958,2014-12-12 00:00:00,HF00000CVJ
0.961,2014-12-23 00:00:00,HF00000CVJ
0.963,2014-12-31 00:00:00,HF00000CVJ
0.968,2015-01-09 00:00:00,HF00000CVJ
0.982,2015-01-16 00:00:00,HF00000CVJ
1.007,2015-01-23 00:00:00,HF00000CVJ
0.987,2015-01-30 00:00:00,HF00000CVJ
0.995,2015-02-06 00:00:00,HF00000CVJ
1.001,2015-02-13 00:00:00,HF00000CVJ
1.015,2015-02-27 00:00:00,HF00000CVJ
1.022,2015-03-06 00:00:00,HF00000CVJ
1.027,2015-03-13 00:00:00,HF00000CVJ
1.06,2015-03-20 00:00:00,HF00000CVJ
1.08,2015-03-27 00:00:00,HF00000CVJ
1.086,2015-04-03 00:00:00,HF00000CVJ
1.103,2015-04-17 00:00:00,HF00000CVJ
1.112,2015-04-24 00:00:00,HF00000CVJ
1.114,2015-04-30 00:00:00,HF00000CVJ
1.126,2015-05-08 00:00:00,HF00000CVJ
1.184,2015-05-15 00:00:00,HF00000CVJ
1.211,2015-05-22 00:00:00,HF00000CVJ
1.212,2015-05-29 00:00:00,HF00000CVJ
1.279,2015-06-05 00:00:00,HF00000CVJ
1.247,2015-06-08 00:00:00,HF00000CVJ
1.253,2015-06-09 00:00:00,HF00000CVJ
1.246,2015-06-11 00:00:00,HF00000CVJ
1.253,2015-06-12 00:00:00,HF00000CVJ
1.231,2015-06-19 00:00:00,HF00000CVJ
1.224,2015-06-26 00:00:00,HF00000CVJ
1.228,2015-06-30 00:00:00,HF00000CVJ
1.164,2015-07-03 00:00:00,HF00000CVJ
1.179,2015-07-06 00:00:00,HF00000CVJ
1.174,2015-07-10 00:00:00,HF00000CVJ
1.237,2015-07-17 00:00:00,HF00000CVJ
1.31,2015-07-24 00:00:00,HF00000CVJ
1.265,2015-07-31 00:00:00,HF00000CVJ
1.292,2015-08-07 00:00:00,HF00000CVJ
