value,date,id
1.0,2014-12-10 00:00:00,HF00000CXH
0.9696,2014-12-12 00:00:00,HF00000CXH
1.1947,2014-12-19 00:00:00,HF00000CXH
1.2031,2014-12-26 00:00:00,HF00000CXH
1.3474,2015-01-05 00:00:00,HF00000CXH
1.2376,2015-01-09 00:00:00,HF00000CXH
1.3883,2015-01-16 00:00:00,HF00000CXH
1.4006,2015-01-23 00:00:00,HF00000CXH
1.2756,2015-01-30 00:00:00,HF00000CXH
1.2693,2015-02-06 00:00:00,HF00000CXH
1.3902,2015-02-13 00:00:00,HF00000CXH
1.4963,2015-02-25 00:00:00,HF00000CXH
1.5255,2015-02-27 00:00:00,HF00000CXH
1.4775,2015-03-06 00:00:00,HF00000CXH
1.5968,2015-03-13 00:00:00,HF00000CXH
1.8406,2015-03-20 00:00:00,HF00000CXH
1.9812,2015-03-27 00:00:00,HF00000CXH
2.165,2015-04-03 00:00:00,HF00000CXH
2.2051,2015-04-10 00:00:00,HF00000CXH
2.278,2015-04-17 00:00:00,HF00000CXH
2.4541,2015-04-24 00:00:00,HF00000CXH
2.3587,2015-04-30 00:00:00,HF00000CXH
2.4069,2015-05-04 00:00:00,HF00000CXH
2.4853,2015-05-08 00:00:00,HF00000CXH
2.5946,2015-05-15 00:00:00,HF00000CXH
3.0708,2015-05-22 00:00:00,HF00000CXH
3.1031,2015-05-29 00:00:00,HF00000CXH
3.2951,2015-06-05 00:00:00,HF00000CXH
3.3138,2015-06-12 00:00:00,HF00000CXH
2.5852,2015-06-19 00:00:00,HF00000CXH
2.1501,2015-06-26 00:00:00,HF00000CXH
1.5133,2015-07-03 00:00:00,HF00000CXH
1.131,2015-07-10 00:00:00,HF00000CXH
1.6766,2015-07-17 00:00:00,HF00000CXH
1.8735,2015-07-24 00:00:00,HF00000CXH
1.5161,2015-07-31 00:00:00,HF00000CXH
