value,date,id
1.0,2014-11-10 00:00:00,HF00000CXW
1.021,2014-11-30 00:00:00,HF00000CXW
1.087,2014-12-31 00:00:00,HF00000CXW
1.112,2015-01-30 00:00:00,HF00000CXW
1.176,2015-02-27 00:00:00,HF00000CXW
1.258,2015-03-31 00:00:00,HF00000CXW
1.506,2015-04-30 00:00:00,HF00000CXW
2.63,2015-05-29 00:00:00,HF00000CXW
3.177,2015-06-30 00:00:00,HF00000CXW
2.96,2015-07-03 00:00:00,HF00000CXW
3.345,2015-07-24 00:00:00,HF00000CXW
3.084,2015-07-31 00:00:00,HF00000CXW
3.159,2015-08-12 00:00:00,HF00000CXW
