value,date,id
1.0,2014-11-26 00:00:00,HF00000CZP
1.02,2014-12-04 00:00:00,HF00000CZP
1.0359,2014-12-11 00:00:00,HF00000CZP
1.1388,2014-12-19 00:00:00,HF00000CZP
1.1778,2014-12-26 00:00:00,HF00000CZP
1.1109,2015-01-09 00:00:00,HF00000CZP
1.147164,2015-01-16 00:00:00,HF00000CZP
1.214088,2015-01-23 00:00:00,HF00000CZP
1.256946,2015-01-30 00:00:00,HF00000CZP
1.183201,2015-02-13 00:00:00,HF00000CZP
1.213636,2015-02-27 00:00:00,HF00000CZP
1.186713,2015-03-06 00:00:00,HF00000CZP
1.226395,2015-03-13 00:00:00,HF00000CZP
1.294287,2015-03-20 00:00:00,HF00000CZP
1.488249,2015-03-27 00:00:00,HF00000CZP
1.363005,2015-04-03 00:00:00,HF00000CZP
1.360475,2015-04-10 00:00:00,HF00000CZP
1.335173,2015-04-17 00:00:00,HF00000CZP
1.340233,2015-04-24 00:00:00,HF00000CZP
1.538472,2015-04-30 00:00:00,HF00000CZP
1.45485,2015-05-08 00:00:00,HF00000CZP
1.562376,2015-05-15 00:00:00,HF00000CZP
1.62449,2015-05-22 00:00:00,HF00000CZP
1.424483,2015-05-29 00:00:00,HF00000CZP
1.407505,2015-06-05 00:00:00,HF00000CZP
1.250978,2015-06-12 00:00:00,HF00000CZP
1.26064,2015-06-19 00:00:00,HF00000CZP
1.20874,2015-06-26 00:00:00,HF00000CZP
0.936542,2015-07-03 00:00:00,HF00000CZP
0.850963,2015-07-10 00:00:00,HF00000CZP
0.888369,2015-07-17 00:00:00,HF00000CZP
0.905209,2015-07-24 00:00:00,HF00000CZP
0.838954,2015-07-31 00:00:00,HF00000CZP
0.812452,2015-08-07 00:00:00,HF00000CZP
