value,date,id
1.0,2014-12-11 00:00:00,HF00000D40
1.0411,2014-12-26 00:00:00,HF00000D40
1.0597,2014-12-31 00:00:00,HF00000D40
1.0914,2015-01-16 00:00:00,HF00000D40
1.0748,2015-01-23 00:00:00,HF00000D40
1.0059,2015-01-30 00:00:00,HF00000D40
0.9611,2015-02-06 00:00:00,HF00000D40
1.0006,2015-02-13 00:00:00,HF00000D40
1.0105,2015-02-17 00:00:00,HF00000D40
1.0129,2015-02-27 00:00:00,HF00000D40
0.9553,2015-03-06 00:00:00,HF00000D40
1.0232,2015-03-13 00:00:00,HF00000D40
1.0792,2015-03-20 00:00:00,HF00000D40
1.0702,2015-03-27 00:00:00,HF00000D40
1.113,2015-04-03 00:00:00,HF00000D40
1.1717,2015-04-10 00:00:00,HF00000D40
1.2033,2015-04-17 00:00:00,HF00000D40
1.2384,2015-04-24 00:00:00,HF00000D40
1.2567,2015-04-30 00:00:00,HF00000D40
1.2683,2015-05-08 00:00:00,HF00000D40
1.268,2015-05-15 00:00:00,HF00000D40
1.2932,2015-05-22 00:00:00,HF00000D40
1.2269,2015-05-29 00:00:00,HF00000D40
1.3546,2015-06-05 00:00:00,HF00000D40
1.3669,2015-06-12 00:00:00,HF00000D40
1.1961,2015-06-19 00:00:00,HF00000D40
1.1408,2015-06-30 00:00:00,HF00000D40
1.1356,2015-07-03 00:00:00,HF00000D40
1.1354,2015-07-10 00:00:00,HF00000D40
1.1684,2015-07-17 00:00:00,HF00000D40
1.0751,2015-07-31 00:00:00,HF00000D40
1.0748,2015-08-07 00:00:00,HF00000D40
