value,date,id
1.0,2014-11-05 00:00:00,HF00000D4Y
0.998,2014-11-13 00:00:00,HF00000D4Y
1.001,2014-11-20 00:00:00,HF00000D4Y
1.008,2014-11-27 00:00:00,HF00000D4Y
0.985,2014-12-04 00:00:00,HF00000D4Y
0.983,2014-12-12 00:00:00,HF00000D4Y
0.954,2014-12-18 00:00:00,HF00000D4Y
0.974,2014-12-22 00:00:00,HF00000D4Y
0.983,2014-12-25 00:00:00,HF00000D4Y
0.979,2014-12-31 00:00:00,HF00000D4Y
0.991,2015-01-09 00:00:00,HF00000D4Y
0.995,2015-01-16 00:00:00,HF00000D4Y
1.007,2015-01-23 00:00:00,HF00000D4Y
1.013,2015-01-30 00:00:00,HF00000D4Y
1.014,2015-02-06 00:00:00,HF00000D4Y
1.02,2015-02-27 00:00:00,HF00000D4Y
1.032,2015-03-06 00:00:00,HF00000D4Y
1.029,2015-03-13 00:00:00,HF00000D4Y
1.047,2015-03-20 00:00:00,HF00000D4Y
1.07,2015-04-03 00:00:00,HF00000D4Y
1.158,2015-05-29 00:00:00,HF00000D4Y
1.212,2015-06-05 00:00:00,HF00000D4Y
1.229,2015-07-03 00:00:00,HF00000D4Y
