value,date,id
1.0,2014-12-12 00:00:00,HF00000D7F
0.9347,2014-12-19 00:00:00,HF00000D7F
0.9388,2014-12-26 00:00:00,HF00000D7F
0.906,2014-12-31 00:00:00,HF00000D7F
0.9506,2015-01-16 00:00:00,HF00000D7F
0.9802,2015-01-23 00:00:00,HF00000D7F
0.9772,2015-01-30 00:00:00,HF00000D7F
0.938,2015-02-06 00:00:00,HF00000D7F
0.9446,2015-02-10 00:00:00,HF00000D7F
0.9817,2015-02-13 00:00:00,HF00000D7F
0.9904,2015-02-17 00:00:00,HF00000D7F
1.0394,2015-02-27 00:00:00,HF00000D7F
1.0966,2015-03-06 00:00:00,HF00000D7F
1.1293,2015-03-10 00:00:00,HF00000D7F
1.1173,2015-03-13 00:00:00,HF00000D7F
1.1511,2015-03-20 00:00:00,HF00000D7F
1.1944,2015-03-27 00:00:00,HF00000D7F
1.2158,2015-03-31 00:00:00,HF00000D7F
1.3198,2015-04-03 00:00:00,HF00000D7F
1.3161,2015-04-10 00:00:00,HF00000D7F
1.2934,2015-04-17 00:00:00,HF00000D7F
1.4246,2015-04-24 00:00:00,HF00000D7F
1.4023,2015-04-30 00:00:00,HF00000D7F
1.385,2015-05-08 00:00:00,HF00000D7F
1.4343,2015-05-11 00:00:00,HF00000D7F
1.5479,2015-05-15 00:00:00,HF00000D7F
1.7743,2015-05-22 00:00:00,HF00000D7F
1.9334,2015-06-05 00:00:00,HF00000D7F
1.8124,2015-06-10 00:00:00,HF00000D7F
1.8242,2015-06-12 00:00:00,HF00000D7F
1.4849,2015-06-19 00:00:00,HF00000D7F
1.1106,2015-07-10 00:00:00,HF00000D7F
1.3022,2015-07-17 00:00:00,HF00000D7F
1.3304,2015-07-24 00:00:00,HF00000D7F
1.3323,2015-07-31 00:00:00,HF00000D7F
1.3629,2015-08-07 00:00:00,HF00000D7F
