value,date,id
1.0,2014-12-05 00:00:00,HF00000D8I
1.0047,2014-12-12 00:00:00,HF00000D8I
1.0671,2014-12-19 00:00:00,HF00000D8I
1.1057,2014-12-26 00:00:00,HF00000D8I
1.1907,2014-12-31 00:00:00,HF00000D8I
1.1753,2015-01-09 00:00:00,HF00000D8I
1.2087,2015-01-16 00:00:00,HF00000D8I
1.211,2015-01-23 00:00:00,HF00000D8I
1.1454,2015-01-30 00:00:00,HF00000D8I
1.1034,2015-02-06 00:00:00,HF00000D8I
1.1432,2015-02-13 00:00:00,HF00000D8I
1.1822,2015-02-27 00:00:00,HF00000D8I
1.1459,2015-03-06 00:00:00,HF00000D8I
1.1445,2015-03-13 00:00:00,HF00000D8I
1.2248,2015-03-20 00:00:00,HF00000D8I
1.2802,2015-03-27 00:00:00,HF00000D8I
1.2948,2015-03-31 00:00:00,HF00000D8I
1.3661,2015-04-03 00:00:00,HF00000D8I
1.4098,2015-04-10 00:00:00,HF00000D8I
1.4518,2015-04-17 00:00:00,HF00000D8I
1.4764,2015-04-24 00:00:00,HF00000D8I
1.4944,2015-04-30 00:00:00,HF00000D8I
1.5211,2015-05-08 00:00:00,HF00000D8I
1.6457,2015-05-15 00:00:00,HF00000D8I
1.7604,2015-05-22 00:00:00,HF00000D8I
1.6996,2015-05-29 00:00:00,HF00000D8I
1.6996,2015-05-31 00:00:00,HF00000D8I
1.8837,2015-06-05 00:00:00,HF00000D8I
1.9387,2015-06-12 00:00:00,HF00000D8I
1.7976,2015-06-19 00:00:00,HF00000D8I
1.6024,2015-06-26 00:00:00,HF00000D8I
1.2382,2015-07-10 00:00:00,HF00000D8I
1.4449,2015-07-17 00:00:00,HF00000D8I
1.4681,2015-07-24 00:00:00,HF00000D8I
1.3926,2015-07-31 00:00:00,HF00000D8I
1.4999,2015-08-07 00:00:00,HF00000D8I
