value,date,id
1.0,2014-12-04 00:00:00,HF00000DA8
1.0072,2014-12-05 00:00:00,HF00000DA8
0.9755,2014-12-12 00:00:00,HF00000DA8
1.0263,2014-12-26 00:00:00,HF00000DA8
1.0321,2014-12-31 00:00:00,HF00000DA8
1.0345,2015-01-09 00:00:00,HF00000DA8
1.0389,2015-01-16 00:00:00,HF00000DA8
1.0464,2015-01-23 00:00:00,HF00000DA8
1.0368,2015-01-30 00:00:00,HF00000DA8
1.0131,2015-02-06 00:00:00,HF00000DA8
1.0578,2015-02-13 00:00:00,HF00000DA8
1.0769,2015-02-27 00:00:00,HF00000DA8
1.0745,2015-03-06 00:00:00,HF00000DA8
1.0881,2015-03-13 00:00:00,HF00000DA8
1.1661,2015-03-20 00:00:00,HF00000DA8
1.2667,2015-04-03 00:00:00,HF00000DA8
1.3291,2015-04-10 00:00:00,HF00000DA8
1.3216,2015-04-17 00:00:00,HF00000DA8
1.2909,2015-04-30 00:00:00,HF00000DA8
1.3179,2015-05-15 00:00:00,HF00000DA8
1.4134,2015-05-22 00:00:00,HF00000DA8
1.4225,2015-05-29 00:00:00,HF00000DA8
1.4806,2015-06-05 00:00:00,HF00000DA8
1.54,2015-06-12 00:00:00,HF00000DA8
1.4266,2015-06-19 00:00:00,HF00000DA8
1.3069,2015-06-26 00:00:00,HF00000DA8
1.1434,2015-07-03 00:00:00,HF00000DA8
1.1979,2015-07-10 00:00:00,HF00000DA8
1.2264,2015-07-17 00:00:00,HF00000DA8
1.2889,2015-07-24 00:00:00,HF00000DA8
1.1716,2015-07-31 00:00:00,HF00000DA8
1.1721,2015-08-07 00:00:00,HF00000DA8
