value,date,id
1.0,2013-07-22 00:00:00,HF00000DAR
1.0128,2013-07-26 00:00:00,HF00000DAR
1.0315,2013-08-02 00:00:00,HF00000DAR
1.0326,2013-08-09 00:00:00,HF00000DAR
1.0534,2013-08-16 00:00:00,HF00000DAR
1.0519,2013-08-23 00:00:00,HF00000DAR
1.0745,2013-08-30 00:00:00,HF00000DAR
1.1462,2013-09-06 00:00:00,HF00000DAR
1.2513,2013-09-13 00:00:00,HF00000DAR
1.2449,2013-09-17 00:00:00,HF00000DAR
1.2461,2013-11-13 00:00:00,HF00000DAR
1.256,2013-11-15 00:00:00,HF00000DAR
1.2772,2013-11-21 00:00:00,HF00000DAR
1.2919,2013-11-29 00:00:00,HF00000DAR
1.3194,2013-12-06 00:00:00,HF00000DAR
1.3161,2013-12-13 00:00:00,HF00000DAR
1.2937,2013-12-19 00:00:00,HF00000DAR
1.2652,2013-12-27 00:00:00,HF00000DAR
1.2773,2013-12-31 00:00:00,HF00000DAR
1.2484,2014-01-03 00:00:00,HF00000DAR
1.2032,2014-01-08 00:00:00,HF00000DAR
1.1684,2014-01-20 00:00:00,HF00000DAR
1.2321,2014-01-24 00:00:00,HF00000DAR
1.2095,2014-01-27 00:00:00,HF00000DAR
1.2226,2014-02-10 00:00:00,HF00000DAR
1.2333,2014-02-14 00:00:00,HF00000DAR
1.1803,2014-02-21 00:00:00,HF00000DAR
1.1287,2014-02-28 00:00:00,HF00000DAR
1.1293,2014-03-06 00:00:00,HF00000DAR
1.103,2014-03-14 00:00:00,HF00000DAR
1.1695,2014-03-21 00:00:00,HF00000DAR
1.1803,2014-03-25 00:00:00,HF00000DAR
1.1746,2014-04-04 00:00:00,HF00000DAR
1.2862,2014-04-11 00:00:00,HF00000DAR
1.2632,2014-04-18 00:00:00,HF00000DAR
1.2598,2014-04-25 00:00:00,HF00000DAR
1.2521,2014-04-30 00:00:00,HF00000DAR
1.2542,2014-05-09 00:00:00,HF00000DAR
1.2998,2014-05-13 00:00:00,HF00000DAR
1.2835,2014-05-23 00:00:00,HF00000DAR
1.2861,2014-05-30 00:00:00,HF00000DAR
1.285,2014-06-06 00:00:00,HF00000DAR
1.291,2014-06-13 00:00:00,HF00000DAR
1.294,2014-06-20 00:00:00,HF00000DAR
1.2963,2014-06-27 00:00:00,HF00000DAR
1.3046,2014-07-04 00:00:00,HF00000DAR
1.3129,2014-07-11 00:00:00,HF00000DAR
1.3257,2014-07-18 00:00:00,HF00000DAR
1.3819,2014-07-25 00:00:00,HF00000DAR
1.4565,2014-08-01 00:00:00,HF00000DAR
1.4624,2014-08-08 00:00:00,HF00000DAR
1.469,2014-08-12 00:00:00,HF00000DAR
1.4718,2014-08-15 00:00:00,HF00000DAR
1.5387,2014-08-22 00:00:00,HF00000DAR
1.5159,2014-08-29 00:00:00,HF00000DAR
1.5915,2014-09-04 00:00:00,HF00000DAR
1.5955,2014-09-12 00:00:00,HF00000DAR
1.5955,2014-09-19 00:00:00,HF00000DAR
1.592,2014-09-26 00:00:00,HF00000DAR
1.592,2014-09-30 00:00:00,HF00000DAR
1.5903,2014-10-10 00:00:00,HF00000DAR
1.5879,2014-10-17 00:00:00,HF00000DAR
1.586,2014-10-24 00:00:00,HF00000DAR
1.6357,2014-10-31 00:00:00,HF00000DAR
1.5916,2014-11-07 00:00:00,HF00000DAR
1.8153,2014-11-13 00:00:00,HF00000DAR
1.8184,2014-11-21 00:00:00,HF00000DAR
1.7997,2014-11-28 00:00:00,HF00000DAR
1.923,2014-12-05 00:00:00,HF00000DAR
1.4883,2014-12-11 00:00:00,HF00000DAR
1.3928,2014-12-18 00:00:00,HF00000DAR
1.2607,2014-12-26 00:00:00,HF00000DAR
1.2578,2014-12-31 00:00:00,HF00000DAR
1.331,2015-01-09 00:00:00,HF00000DAR
1.3717,2015-01-16 00:00:00,HF00000DAR
1.3482,2015-01-23 00:00:00,HF00000DAR
1.3139,2015-01-30 00:00:00,HF00000DAR
1.3279,2015-02-06 00:00:00,HF00000DAR
1.4113,2015-02-13 00:00:00,HF00000DAR
1.4151,2015-02-17 00:00:00,HF00000DAR
1.5124,2015-02-27 00:00:00,HF00000DAR
1.4475,2015-03-06 00:00:00,HF00000DAR
1.4931,2015-03-13 00:00:00,HF00000DAR
1.598,2015-03-20 00:00:00,HF00000DAR
1.6527,2015-03-27 00:00:00,HF00000DAR
1.6637,2015-04-03 00:00:00,HF00000DAR
1.7158,2015-04-10 00:00:00,HF00000DAR
1.7037,2015-04-17 00:00:00,HF00000DAR
1.7001,2015-04-24 00:00:00,HF00000DAR
1.6951,2015-04-30 00:00:00,HF00000DAR
1.6267,2015-05-08 00:00:00,HF00000DAR
1.6551,2015-05-15 00:00:00,HF00000DAR
1.7654,2015-05-22 00:00:00,HF00000DAR
1.7763,2015-05-29 00:00:00,HF00000DAR
1.7726,2015-06-05 00:00:00,HF00000DAR
1.7743,2015-06-12 00:00:00,HF00000DAR
1.6279,2015-06-19 00:00:00,HF00000DAR
1.6017,2015-06-26 00:00:00,HF00000DAR
1.5393,2015-07-03 00:00:00,HF00000DAR
1.5526,2015-07-10 00:00:00,HF00000DAR
1.5307,2015-07-17 00:00:00,HF00000DAR
1.5566,2015-07-24 00:00:00,HF00000DAR
1.4167,2015-07-31 00:00:00,HF00000DAR
1.4286,2015-08-07 00:00:00,HF00000DAR
1.5055,2015-08-14 00:00:00,HF00000DAR
