value,date,id
1.0,2014-12-17 00:00:00,HF00000DB8
1.0013,2014-12-19 00:00:00,HF00000DB8
1.017,2014-12-26 00:00:00,HF00000DB8
1.0206,2014-12-31 00:00:00,HF00000DB8
1.0623,2015-01-09 00:00:00,HF00000DB8
1.0988,2015-01-16 00:00:00,HF00000DB8
1.0882,2015-01-23 00:00:00,HF00000DB8
1.0725,2015-01-30 00:00:00,HF00000DB8
1.1022,2015-02-06 00:00:00,HF00000DB8
1.1366,2015-02-13 00:00:00,HF00000DB8
1.1851,2015-02-17 00:00:00,HF00000DB8
1.1737,2015-02-27 00:00:00,HF00000DB8
1.2188,2015-03-06 00:00:00,HF00000DB8
1.2493,2015-03-13 00:00:00,HF00000DB8
1.2549,2015-03-20 00:00:00,HF00000DB8
1.264,2015-03-27 00:00:00,HF00000DB8
1.2536,2015-04-03 00:00:00,HF00000DB8
1.2594,2015-04-10 00:00:00,HF00000DB8
1.2388,2015-04-17 00:00:00,HF00000DB8
1.3298,2015-04-24 00:00:00,HF00000DB8
1.3264,2015-04-30 00:00:00,HF00000DB8
1.3385,2015-05-08 00:00:00,HF00000DB8
1.3372,2015-05-14 00:00:00,HF00000DB8
1.3888,2015-05-21 00:00:00,HF00000DB8
1.4029,2015-05-22 00:00:00,HF00000DB8
1.3644,2015-05-29 00:00:00,HF00000DB8
1.5118,2015-06-05 00:00:00,HF00000DB8
1.6339,2015-06-12 00:00:00,HF00000DB8
1.4674,2015-06-19 00:00:00,HF00000DB8
1.5423,2015-06-26 00:00:00,HF00000DB8
1.3848,2015-07-03 00:00:00,HF00000DB8
1.3842,2015-07-10 00:00:00,HF00000DB8
1.4896,2015-07-17 00:00:00,HF00000DB8
1.4988,2015-07-24 00:00:00,HF00000DB8
1.4995,2015-07-31 00:00:00,HF00000DB8
