value,date,id
1.0,2014-12-31 00:00:00,HF00000DBG
1.001066,2015-01-05 00:00:00,HF00000DBG
1.000742,2015-01-06 00:00:00,HF00000DBG
1.001135,2015-01-07 00:00:00,HF00000DBG
1.000642,2015-01-08 00:00:00,HF00000DBG
0.996949,2015-01-09 00:00:00,HF00000DBG
0.995466,2015-01-12 00:00:00,HF00000DBG
0.995614,2015-01-13 00:00:00,HF00000DBG
0.992956,2015-01-14 00:00:00,HF00000DBG
0.993586,2015-01-15 00:00:00,HF00000DBG
0.996523,2015-01-16 00:00:00,HF00000DBG
0.992505,2015-01-19 00:00:00,HF00000DBG
0.990362,2015-01-20 00:00:00,HF00000DBG
0.987049,2015-01-21 00:00:00,HF00000DBG
0.987132,2015-01-22 00:00:00,HF00000DBG
0.983331,2015-01-23 00:00:00,HF00000DBG
0.984432,2015-01-26 00:00:00,HF00000DBG
0.989022,2015-01-27 00:00:00,HF00000DBG
0.987989,2015-01-28 00:00:00,HF00000DBG
0.988377,2015-01-29 00:00:00,HF00000DBG
0.994848,2015-01-30 00:00:00,HF00000DBG
1.002384,2015-02-02 00:00:00,HF00000DBG
1.007105,2015-02-03 00:00:00,HF00000DBG
1.009981,2015-02-04 00:00:00,HF00000DBG
1.008696,2015-02-05 00:00:00,HF00000DBG
1.01067,2015-02-06 00:00:00,HF00000DBG
1.008791,2015-02-09 00:00:00,HF00000DBG
1.014491,2015-02-10 00:00:00,HF00000DBG
1.019368,2015-02-11 00:00:00,HF00000DBG
1.019261,2015-02-12 00:00:00,HF00000DBG
1.021233,2015-02-13 00:00:00,HF00000DBG
1.017488,2015-02-16 00:00:00,HF00000DBG
1.015913,2015-02-17 00:00:00,HF00000DBG
1.012439,2015-02-25 00:00:00,HF00000DBG
1.01548,2015-02-26 00:00:00,HF00000DBG
1.018121,2015-02-27 00:00:00,HF00000DBG
1.014555,2015-03-02 00:00:00,HF00000DBG
1.012263,2015-03-03 00:00:00,HF00000DBG
1.007425,2015-03-04 00:00:00,HF00000DBG
1.00651,2015-03-05 00:00:00,HF00000DBG
1.009127,2015-03-06 00:00:00,HF00000DBG
1.02286,2015-03-09 00:00:00,HF00000DBG
1.020517,2015-03-10 00:00:00,HF00000DBG
1.023081,2015-03-11 00:00:00,HF00000DBG
1.021229,2015-03-12 00:00:00,HF00000DBG
1.015655,2015-03-13 00:00:00,HF00000DBG
1.021012,2015-03-16 00:00:00,HF00000DBG
1.019221,2015-03-17 00:00:00,HF00000DBG
1.012811,2015-03-18 00:00:00,HF00000DBG
1.010609,2015-03-19 00:00:00,HF00000DBG
1.014984,2015-03-20 00:00:00,HF00000DBG
1.014124,2015-03-23 00:00:00,HF00000DBG
1.018097,2015-03-24 00:00:00,HF00000DBG
1.022933,2015-03-25 00:00:00,HF00000DBG
1.021141,2015-03-26 00:00:00,HF00000DBG
1.015349,2015-03-27 00:00:00,HF00000DBG
1.021695,2015-03-30 00:00:00,HF00000DBG
1.038914,2015-03-31 00:00:00,HF00000DBG
1.026713,2015-04-01 00:00:00,HF00000DBG
1.023817,2015-04-02 00:00:00,HF00000DBG
1.019114,2015-04-03 00:00:00,HF00000DBG
1.024222,2015-04-07 00:00:00,HF00000DBG
1.023232,2015-04-08 00:00:00,HF00000DBG
1.024555,2015-04-09 00:00:00,HF00000DBG
1.025098,2015-04-10 00:00:00,HF00000DBG
1.022113,2015-04-13 00:00:00,HF00000DBG
1.020607,2015-04-14 00:00:00,HF00000DBG
1.01892,2015-04-15 00:00:00,HF00000DBG
1.026419,2015-04-16 00:00:00,HF00000DBG
1.029301,2015-04-17 00:00:00,HF00000DBG
1.043728,2015-04-20 00:00:00,HF00000DBG
1.03841,2015-04-21 00:00:00,HF00000DBG
1.043532,2015-04-22 00:00:00,HF00000DBG
1.039198,2015-04-23 00:00:00,HF00000DBG
1.048603,2015-04-24 00:00:00,HF00000DBG
1.048879,2015-04-27 00:00:00,HF00000DBG
1.047362,2015-04-28 00:00:00,HF00000DBG
1.047292,2015-04-29 00:00:00,HF00000DBG
1.046203,2015-04-30 00:00:00,HF00000DBG
1.046552,2015-05-04 00:00:00,HF00000DBG
1.057014,2015-05-05 00:00:00,HF00000DBG
1.057547,2015-05-06 00:00:00,HF00000DBG
1.055446,2015-05-07 00:00:00,HF00000DBG
1.050555,2015-05-08 00:00:00,HF00000DBG
1.064019,2015-05-11 00:00:00,HF00000DBG
1.064624,2015-05-12 00:00:00,HF00000DBG
1.074551,2015-05-13 00:00:00,HF00000DBG
1.077705,2015-05-14 00:00:00,HF00000DBG
1.079608,2015-05-15 00:00:00,HF00000DBG
1.095969,2015-05-18 00:00:00,HF00000DBG
1.108395,2015-05-19 00:00:00,HF00000DBG
1.110148,2015-05-20 00:00:00,HF00000DBG
1.106607,2015-05-21 00:00:00,HF00000DBG
1.131057,2015-05-22 00:00:00,HF00000DBG
1.156152,2015-05-25 00:00:00,HF00000DBG
1.166423,2015-05-26 00:00:00,HF00000DBG
1.189821,2015-05-27 00:00:00,HF00000DBG
1.202996,2015-05-28 00:00:00,HF00000DBG
1.216436,2015-05-29 00:00:00,HF00000DBG
1.203198,2015-06-01 00:00:00,HF00000DBG
1.200709,2015-06-02 00:00:00,HF00000DBG
1.20428,2015-06-03 00:00:00,HF00000DBG
1.215373,2015-06-04 00:00:00,HF00000DBG
1.219058,2015-06-05 00:00:00,HF00000DBG
1.223049,2015-06-08 00:00:00,HF00000DBG
1.228313,2015-06-09 00:00:00,HF00000DBG
1.231886,2015-06-10 00:00:00,HF00000DBG
1.240951,2015-06-11 00:00:00,HF00000DBG
1.241097,2015-06-12 00:00:00,HF00000DBG
1.256635,2015-06-15 00:00:00,HF00000DBG
1.281115,2015-06-16 00:00:00,HF00000DBG
1.285448,2015-06-17 00:00:00,HF00000DBG
1.270803,2015-06-18 00:00:00,HF00000DBG
1.259506,2015-06-19 00:00:00,HF00000DBG
1.262547,2015-06-23 00:00:00,HF00000DBG
1.260042,2015-06-24 00:00:00,HF00000DBG
1.266035,2015-06-25 00:00:00,HF00000DBG
1.266404,2015-06-26 00:00:00,HF00000DBG
1.255097,2015-06-29 00:00:00,HF00000DBG
1.256284,2015-06-30 00:00:00,HF00000DBG
1.259109,2015-07-01 00:00:00,HF00000DBG
1.260182,2015-07-02 00:00:00,HF00000DBG
1.252211,2015-07-03 00:00:00,HF00000DBG
1.248698,2015-07-06 00:00:00,HF00000DBG
1.250427,2015-07-07 00:00:00,HF00000DBG
1.242221,2015-07-08 00:00:00,HF00000DBG
1.24498,2015-07-09 00:00:00,HF00000DBG
1.245164,2015-07-10 00:00:00,HF00000DBG
1.242439,2015-07-13 00:00:00,HF00000DBG
1.240977,2015-07-14 00:00:00,HF00000DBG
1.238333,2015-07-15 00:00:00,HF00000DBG
1.25073,2015-07-16 00:00:00,HF00000DBG
1.251501,2015-07-17 00:00:00,HF00000DBG
1.251795,2015-07-20 00:00:00,HF00000DBG
1.247669,2015-07-21 00:00:00,HF00000DBG
1.245552,2015-07-22 00:00:00,HF00000DBG
1.251406,2015-07-23 00:00:00,HF00000DBG
1.260007,2015-07-24 00:00:00,HF00000DBG
1.265115,2015-07-27 00:00:00,HF00000DBG
1.267954,2015-07-28 00:00:00,HF00000DBG
1.272165,2015-07-29 00:00:00,HF00000DBG
1.274262,2015-07-30 00:00:00,HF00000DBG
1.272433,2015-07-31 00:00:00,HF00000DBG
1.272203,2015-08-03 00:00:00,HF00000DBG
1.272466,2015-08-04 00:00:00,HF00000DBG
1.276926,2015-08-05 00:00:00,HF00000DBG
1.276231,2015-08-06 00:00:00,HF00000DBG
1.278074,2015-08-07 00:00:00,HF00000DBG
1.285045,2015-08-10 00:00:00,HF00000DBG
1.282672,2015-08-11 00:00:00,HF00000DBG
1.282434,2015-08-12 00:00:00,HF00000DBG
1.281051,2015-08-13 00:00:00,HF00000DBG
1.281503,2015-08-14 00:00:00,HF00000DBG
