value,date,id
1.0,2014-12-12 00:00:00,HF00000DC4
1.0045,2014-12-26 00:00:00,HF00000DC4
0.9989,2014-12-31 00:00:00,HF00000DC4
1.0087,2015-01-09 00:00:00,HF00000DC4
1.0615,2015-01-16 00:00:00,HF00000DC4
1.0544,2015-01-23 00:00:00,HF00000DC4
1.0798,2015-01-30 00:00:00,HF00000DC4
1.096,2015-02-06 00:00:00,HF00000DC4
1.1109,2015-02-13 00:00:00,HF00000DC4
1.1755,2015-02-27 00:00:00,HF00000DC4
1.2054,2015-03-06 00:00:00,HF00000DC4
1.2882,2015-03-13 00:00:00,HF00000DC4
1.3265,2015-03-23 00:00:00,HF00000DC4
1.4276,2015-03-27 00:00:00,HF00000DC4
1.4599,2015-04-03 00:00:00,HF00000DC4
1.4827,2015-04-10 00:00:00,HF00000DC4
1.4348,2015-04-17 00:00:00,HF00000DC4
1.4429,2015-04-24 00:00:00,HF00000DC4
1.5004,2015-04-30 00:00:00,HF00000DC4
1.4243,2015-05-08 00:00:00,HF00000DC4
1.5451,2015-05-15 00:00:00,HF00000DC4
1.68,2015-05-22 00:00:00,HF00000DC4
1.7325,2015-05-29 00:00:00,HF00000DC4
1.8787,2015-06-05 00:00:00,HF00000DC4
1.909,2015-06-12 00:00:00,HF00000DC4
1.7472,2015-06-19 00:00:00,HF00000DC4
1.6858,2015-06-26 00:00:00,HF00000DC4
1.48,2015-07-06 00:00:00,HF00000DC4
1.5244,2015-07-10 00:00:00,HF00000DC4
1.5346,2015-07-17 00:00:00,HF00000DC4
1.7431,2015-07-24 00:00:00,HF00000DC4
1.3919,2015-07-31 00:00:00,HF00000DC4
1.4082,2015-08-07 00:00:00,HF00000DC4
