value,date,id
1.0,2014-12-11 00:00:00,HF00000DCY
1.026,2014-12-19 00:00:00,HF00000DCY
1.0011,2014-12-26 00:00:00,HF00000DCY
0.9945,2014-12-31 00:00:00,HF00000DCY
0.9907,2015-01-09 00:00:00,HF00000DCY
1.0618,2015-01-16 00:00:00,HF00000DCY
1.1206,2015-01-23 00:00:00,HF00000DCY
1.1272,2015-02-06 00:00:00,HF00000DCY
1.1551,2015-02-11 00:00:00,HF00000DCY
1.2444,2015-03-11 00:00:00,HF00000DCY
1.2687,2015-03-13 00:00:00,HF00000DCY
1.3789,2015-03-20 00:00:00,HF00000DCY
1.5605,2015-04-03 00:00:00,HF00000DCY
1.686,2015-04-24 00:00:00,HF00000DCY
1.7269,2015-05-08 00:00:00,HF00000DCY
1.7825,2015-05-15 00:00:00,HF00000DCY
1.9661,2015-05-22 00:00:00,HF00000DCY
1.7862,2015-06-26 00:00:00,HF00000DCY
1.4697,2015-07-17 00:00:00,HF00000DCY
1.5479,2015-07-24 00:00:00,HF00000DCY
1.4665,2015-07-31 00:00:00,HF00000DCY
1.5173,2015-08-11 00:00:00,HF00000DCY
