value,date,id
1.0,2014-12-22 00:00:00,HF00000DI4
1.027,2015-01-08 00:00:00,HF00000DI4
1.0238,2015-01-09 00:00:00,HF00000DI4
1.0181,2015-01-12 00:00:00,HF00000DI4
1.0199,2015-01-13 00:00:00,HF00000DI4
1.033,2015-01-15 00:00:00,HF00000DI4
1.0359,2015-01-16 00:00:00,HF00000DI4
1.003,2015-01-20 00:00:00,HF00000DI4
1.0381,2015-01-22 00:00:00,HF00000DI4
1.0494,2015-01-23 00:00:00,HF00000DI4
1.0468,2015-01-26 00:00:00,HF00000DI4
1.0458,2015-01-27 00:00:00,HF00000DI4
1.0284,2015-01-29 00:00:00,HF00000DI4
1.022,2015-01-30 00:00:00,HF00000DI4
1.0484,2015-02-03 00:00:00,HF00000DI4
1.0445,2015-02-04 00:00:00,HF00000DI4
1.0516,2015-02-05 00:00:00,HF00000DI4
1.0431,2015-02-06 00:00:00,HF00000DI4
1.0484,2015-02-09 00:00:00,HF00000DI4
1.0661,2015-02-10 00:00:00,HF00000DI4
1.0742,2015-02-11 00:00:00,HF00000DI4
1.0887,2015-02-12 00:00:00,HF00000DI4
1.0946,2015-02-13 00:00:00,HF00000DI4
1.1048,2015-02-16 00:00:00,HF00000DI4
1.1088,2015-02-17 00:00:00,HF00000DI4
1.0922,2015-02-25 00:00:00,HF00000DI4
1.1047,2015-02-26 00:00:00,HF00000DI4
1.133,2015-03-02 00:00:00,HF00000DI4
1.1301,2015-03-03 00:00:00,HF00000DI4
1.1396,2015-03-04 00:00:00,HF00000DI4
1.1415,2015-03-05 00:00:00,HF00000DI4
1.1324,2015-03-06 00:00:00,HF00000DI4
1.143,2015-03-09 00:00:00,HF00000DI4
1.1552,2015-03-10 00:00:00,HF00000DI4
1.1585,2015-03-11 00:00:00,HF00000DI4
1.1774,2015-03-12 00:00:00,HF00000DI4
1.1879,2015-03-13 00:00:00,HF00000DI4
1.2128,2015-03-16 00:00:00,HF00000DI4
1.2213,2015-03-17 00:00:00,HF00000DI4
1.2433,2015-03-18 00:00:00,HF00000DI4
1.2437,2015-03-19 00:00:00,HF00000DI4
1.2568,2015-03-20 00:00:00,HF00000DI4
1.2691,2015-03-24 00:00:00,HF00000DI4
1.2551,2015-03-25 00:00:00,HF00000DI4
1.2366,2015-03-26 00:00:00,HF00000DI4
1.2471,2015-03-27 00:00:00,HF00000DI4
1.2484,2015-03-30 00:00:00,HF00000DI4
1.2548,2015-03-31 00:00:00,HF00000DI4
1.2884,2015-04-01 00:00:00,HF00000DI4
1.3092,2015-04-02 00:00:00,HF00000DI4
1.3302,2015-04-03 00:00:00,HF00000DI4
1.3642,2015-04-07 00:00:00,HF00000DI4
1.3359,2015-04-08 00:00:00,HF00000DI4
1.3062,2015-04-09 00:00:00,HF00000DI4
1.3599,2015-04-10 00:00:00,HF00000DI4
1.4132,2015-04-13 00:00:00,HF00000DI4
1.4079,2015-04-14 00:00:00,HF00000DI4
1.3719,2015-04-15 00:00:00,HF00000DI4
1.3783,2015-04-16 00:00:00,HF00000DI4
1.3826,2015-04-17 00:00:00,HF00000DI4
1.3465,2015-04-20 00:00:00,HF00000DI4
1.367,2015-04-21 00:00:00,HF00000DI4
1.3957,2015-04-22 00:00:00,HF00000DI4
1.4003,2015-04-23 00:00:00,HF00000DI4
1.4221,2015-04-24 00:00:00,HF00000DI4
1.4389,2015-04-27 00:00:00,HF00000DI4
1.4409,2015-04-28 00:00:00,HF00000DI4
1.4559,2015-04-29 00:00:00,HF00000DI4
1.4654,2015-04-30 00:00:00,HF00000DI4
1.4485,2015-05-04 00:00:00,HF00000DI4
1.4197,2015-05-05 00:00:00,HF00000DI4
1.416,2015-05-06 00:00:00,HF00000DI4
