value,date,id
1.0,2014-12-22 00:00:00,HF00000DKL
0.9997,2014-12-26 00:00:00,HF00000DKL
0.9995,2014-12-31 00:00:00,HF00000DKL
0.9965,2015-01-09 00:00:00,HF00000DKL
1.0011,2015-01-16 00:00:00,HF00000DKL
0.996,2015-01-23 00:00:00,HF00000DKL
0.9731,2015-01-30 00:00:00,HF00000DKL
0.8786,2015-02-06 00:00:00,HF00000DKL
0.9747,2015-02-13 00:00:00,HF00000DKL
0.9985,2015-02-17 00:00:00,HF00000DKL
1.0269,2015-02-27 00:00:00,HF00000DKL
0.9855,2015-03-06 00:00:00,HF00000DKL
1.0551,2015-03-13 00:00:00,HF00000DKL
1.1285,2015-03-20 00:00:00,HF00000DKL
1.1697,2015-03-27 00:00:00,HF00000DKL
1.2795,2015-04-03 00:00:00,HF00000DKL
1.3567,2015-04-10 00:00:00,HF00000DKL
1.4731,2015-04-17 00:00:00,HF00000DKL
1.5677,2015-04-24 00:00:00,HF00000DKL
1.65,2015-04-30 00:00:00,HF00000DKL
1.5766,2015-05-08 00:00:00,HF00000DKL
1.7281,2015-05-15 00:00:00,HF00000DKL
1.8997,2015-05-22 00:00:00,HF00000DKL
1.9594,2015-05-29 00:00:00,HF00000DKL
2.0862,2015-06-05 00:00:00,HF00000DKL
2.1257,2015-06-12 00:00:00,HF00000DKL
1.6767,2015-06-19 00:00:00,HF00000DKL
1.7143,2015-06-26 00:00:00,HF00000DKL
1.0754,2015-07-03 00:00:00,HF00000DKL
0.9659,2015-07-10 00:00:00,HF00000DKL
0.9679,2015-07-13 00:00:00,HF00000DKL
0.8908,2015-07-15 00:00:00,HF00000DKL
0.9808,2015-07-17 00:00:00,HF00000DKL
1.0007,2015-07-20 00:00:00,HF00000DKL
1.0712,2015-07-24 00:00:00,HF00000DKL
0.8734,2015-08-07 00:00:00,HF00000DKL
