value,date,id
1.0,2014-10-20 00:00:00,HF00000DP4
0.997,2014-10-24 00:00:00,HF00000DP4
1.02,2014-10-31 00:00:00,HF00000DP4
1.02,2014-11-07 00:00:00,HF00000DP4
0.99,2014-11-14 00:00:00,HF00000DP4
1.06,2014-11-28 00:00:00,HF00000DP4
1.12,2014-12-05 00:00:00,HF00000DP4
1.1,2014-12-12 00:00:00,HF00000DP4
1.13,2014-12-19 00:00:00,HF00000DP4
1.15,2014-12-26 00:00:00,HF00000DP4
1.18,2014-12-31 00:00:00,HF00000DP4
1.19,2015-01-09 00:00:00,HF00000DP4
1.24,2015-01-16 00:00:00,HF00000DP4
1.23,2015-01-23 00:00:00,HF00000DP4
1.17,2015-01-30 00:00:00,HF00000DP4
1.15,2015-02-06 00:00:00,HF00000DP4
1.18,2015-02-13 00:00:00,HF00000DP4
1.2,2015-02-17 00:00:00,HF00000DP4
1.2,2015-02-27 00:00:00,HF00000DP4
1.23,2015-03-06 00:00:00,HF00000DP4
1.31,2015-03-13 00:00:00,HF00000DP4
1.42,2015-03-20 00:00:00,HF00000DP4
1.46,2015-03-27 00:00:00,HF00000DP4
1.55,2015-04-03 00:00:00,HF00000DP4
1.61,2015-04-10 00:00:00,HF00000DP4
1.58,2015-04-17 00:00:00,HF00000DP4
1.62,2015-04-24 00:00:00,HF00000DP4
1.6,2015-04-30 00:00:00,HF00000DP4
