value,date,id
1.0,2014-12-26 00:00:00,HF00000DQ2
1.06,2015-01-30 00:00:00,HF00000DQ2
1.095,2015-02-13 00:00:00,HF00000DQ2
1.118,2015-02-27 00:00:00,HF00000DQ2
1.154,2015-03-06 00:00:00,HF00000DQ2
1.196,2015-03-13 00:00:00,HF00000DQ2
1.267,2015-03-20 00:00:00,HF00000DQ2
1.331,2015-03-27 00:00:00,HF00000DQ2
1.434,2015-04-03 00:00:00,HF00000DQ2
1.452,2015-04-10 00:00:00,HF00000DQ2
1.479,2015-04-17 00:00:00,HF00000DQ2
1.599,2015-04-24 00:00:00,HF00000DQ2
1.502,2015-04-30 00:00:00,HF00000DQ2
1.544,2015-05-08 00:00:00,HF00000DQ2
1.701,2015-05-15 00:00:00,HF00000DQ2
1.991,2015-05-22 00:00:00,HF00000DQ2
2.0,2015-05-29 00:00:00,HF00000DQ2
2.162,2015-06-05 00:00:00,HF00000DQ2
2.201,2015-06-12 00:00:00,HF00000DQ2
1.981,2015-06-19 00:00:00,HF00000DQ2
1.78,2015-06-26 00:00:00,HF00000DQ2
1.473,2015-07-03 00:00:00,HF00000DQ2
1.59,2015-07-17 00:00:00,HF00000DQ2
1.632,2015-07-24 00:00:00,HF00000DQ2
1.534,2015-07-31 00:00:00,HF00000DQ2
