value,date,id
1.0,2014-12-22 00:00:00,HF00000DZB
0.998,2014-12-26 00:00:00,HF00000DZB
1.005,2014-12-31 00:00:00,HF00000DZB
1.036,2015-01-09 00:00:00,HF00000DZB
1.031,2015-01-16 00:00:00,HF00000DZB
1.053,2015-01-23 00:00:00,HF00000DZB
1.04,2015-01-30 00:00:00,HF00000DZB
1.019,2015-02-06 00:00:00,HF00000DZB
1.026,2015-02-27 00:00:00,HF00000DZB
1.026,2015-03-06 00:00:00,HF00000DZB
1.007,2015-03-13 00:00:00,HF00000DZB
1.023,2015-03-20 00:00:00,HF00000DZB
1.044,2015-04-03 00:00:00,HF00000DZB
1.192,2015-05-29 00:00:00,HF00000DZB
1.308,2015-06-05 00:00:00,HF00000DZB
1.304,2015-07-03 00:00:00,HF00000DZB
