value,date,id
1.0,2015-01-19 00:00:00,HF00000ECZ
1.0077,2015-01-23 00:00:00,HF00000ECZ
0.99,2015-01-30 00:00:00,HF00000ECZ
0.98111,2015-02-06 00:00:00,HF00000ECZ
1.008588,2015-02-13 00:00:00,HF00000ECZ
1.01667,2015-02-17 00:00:00,HF00000ECZ
1.015458,2015-02-27 00:00:00,HF00000ECZ
1.015155,2015-03-06 00:00:00,HF00000ECZ
1.025156,2015-03-13 00:00:00,HF00000ECZ
1.051017,2015-03-20 00:00:00,HF00000ECZ
1.066877,2015-03-27 00:00:00,HF00000ECZ
1.090617,2015-04-03 00:00:00,HF00000ECZ
1.097587,2015-04-10 00:00:00,HF00000ECZ
1.114659,2015-04-17 00:00:00,HF00000ECZ
1.119508,2015-04-24 00:00:00,HF00000ECZ
1.130418,2015-04-30 00:00:00,HF00000ECZ
1.132395,2015-05-08 00:00:00,HF00000ECZ
1.187653,2015-05-15 00:00:00,HF00000ECZ
1.223905,2015-05-22 00:00:00,HF00000ECZ
1.226542,2015-05-29 00:00:00,HF00000ECZ
1.244778,2015-06-05 00:00:00,HF00000ECZ
1.262685,2015-06-12 00:00:00,HF00000ECZ
1.228959,2015-06-19 00:00:00,HF00000ECZ
1.221489,2015-06-26 00:00:00,HF00000ECZ
1.215557,2015-06-30 00:00:00,HF00000ECZ
1.208741,2015-07-03 00:00:00,HF00000ECZ
1.205751,2015-07-10 00:00:00,HF00000ECZ
1.207545,2015-07-17 00:00:00,HF00000ECZ
1.243061,2015-07-24 00:00:00,HF00000ECZ
1.233728,2015-07-31 00:00:00,HF00000ECZ
