value,date,id
1.0,2015-01-14 00:00:00,HF00000EEC
1.114,2015-01-23 00:00:00,HF00000EEC
1.114,2015-02-06 00:00:00,HF00000EEC
1.188,2015-02-27 00:00:00,HF00000EEC
1.217,2015-03-06 00:00:00,HF00000EEC
1.233,2015-03-13 00:00:00,HF00000EEC
1.381,2015-03-27 00:00:00,HF00000EEC
1.428,2015-04-03 00:00:00,HF00000EEC
1.389,2015-04-10 00:00:00,HF00000EEC
1.39,2015-04-13 00:00:00,HF00000EEC
1.369,2015-04-17 00:00:00,HF00000EEC
1.399,2015-04-24 00:00:00,HF00000EEC
1.38,2015-04-29 00:00:00,HF00000EEC
1.412,2015-05-07 00:00:00,HF00000EEC
1.453,2015-05-14 00:00:00,HF00000EEC
1.547,2015-05-21 00:00:00,HF00000EEC
1.649,2015-05-26 00:00:00,HF00000EEC
1.677,2015-05-27 00:00:00,HF00000EEC
1.557,2015-05-31 00:00:00,HF00000EEC
1.635,2015-06-12 00:00:00,HF00000EEC
1.5,2015-06-25 00:00:00,HF00000EEC
1.342,2015-07-03 00:00:00,HF00000EEC
1.233,2015-07-09 00:00:00,HF00000EEC
1.194,2015-07-17 00:00:00,HF00000EEC
1.192,2015-07-24 00:00:00,HF00000EEC
1.132,2015-07-30 00:00:00,HF00000EEC
1.086,2015-08-06 00:00:00,HF00000EEC
1.171,2015-08-13 00:00:00,HF00000EEC
