value,date,id
1.0,2015-01-07 00:00:00,HF00000EF7
1.0,2015-01-23 00:00:00,HF00000EF7
0.955,2015-01-30 00:00:00,HF00000EF7
0.962,2015-02-06 00:00:00,HF00000EF7
1.055,2015-02-13 00:00:00,HF00000EF7
1.109,2015-02-27 00:00:00,HF00000EF7
1.132,2015-03-06 00:00:00,HF00000EF7
1.179,2015-03-13 00:00:00,HF00000EF7
1.267,2015-03-20 00:00:00,HF00000EF7
1.306,2015-03-27 00:00:00,HF00000EF7
1.418,2015-04-03 00:00:00,HF00000EF7
1.482,2015-04-10 00:00:00,HF00000EF7
1.494,2015-04-17 00:00:00,HF00000EF7
1.544,2015-04-23 00:00:00,HF00000EF7
1.572,2015-04-29 00:00:00,HF00000EF7
1.599,2015-05-06 00:00:00,HF00000EF7
1.73,2015-05-14 00:00:00,HF00000EF7
1.845,2015-05-20 00:00:00,HF00000EF7
2.028,2015-05-29 00:00:00,HF00000EF7
2.282,2015-06-05 00:00:00,HF00000EF7
2.332,2015-06-12 00:00:00,HF00000EF7
1.983,2015-06-24 00:00:00,HF00000EF7
1.49,2015-07-03 00:00:00,HF00000EF7
1.429,2015-07-09 00:00:00,HF00000EF7
1.621,2015-07-17 00:00:00,HF00000EF7
1.75,2015-07-23 00:00:00,HF00000EF7
1.727,2015-07-24 00:00:00,HF00000EF7
1.587,2015-07-28 00:00:00,HF00000EF7
1.622,2015-07-31 00:00:00,HF00000EF7
1.57,2015-08-06 00:00:00,HF00000EF7
1.625,2015-08-07 00:00:00,HF00000EF7
