value,date,id
1.0,2015-01-21 00:00:00,HF00000EJ1
1.0001,2015-01-22 00:00:00,HF00000EJ1
1.0001,2015-01-23 00:00:00,HF00000EJ1
1.0002,2015-01-26 00:00:00,HF00000EJ1
1.0003,2015-01-27 00:00:00,HF00000EJ1
1.0004,2015-01-28 00:00:00,HF00000EJ1
1.0003,2015-01-29 00:00:00,HF00000EJ1
1.0003,2015-01-30 00:00:00,HF00000EJ1
1.0003,2015-02-02 00:00:00,HF00000EJ1
1.0003,2015-02-03 00:00:00,HF00000EJ1
1.0003,2015-02-04 00:00:00,HF00000EJ1
1.0002,2015-02-05 00:00:00,HF00000EJ1
1.0002,2015-02-06 00:00:00,HF00000EJ1
1.0025,2015-02-09 00:00:00,HF00000EJ1
1.0024,2015-02-10 00:00:00,HF00000EJ1
1.0036,2015-02-11 00:00:00,HF00000EJ1
1.0047,2015-02-12 00:00:00,HF00000EJ1
1.0059,2015-02-13 00:00:00,HF00000EJ1
1.0081,2015-02-16 00:00:00,HF00000EJ1
1.0093,2015-02-17 00:00:00,HF00000EJ1
1.0103,2015-02-25 00:00:00,HF00000EJ1
1.0114,2015-02-26 00:00:00,HF00000EJ1
1.0126,2015-02-27 00:00:00,HF00000EJ1
1.0148,2015-03-02 00:00:00,HF00000EJ1
1.016,2015-03-03 00:00:00,HF00000EJ1
1.0183,2015-03-04 00:00:00,HF00000EJ1
1.0194,2015-03-05 00:00:00,HF00000EJ1
1.0217,2015-03-06 00:00:00,HF00000EJ1
1.0228,2015-03-09 00:00:00,HF00000EJ1
1.024,2015-03-10 00:00:00,HF00000EJ1
1.0263,2015-03-11 00:00:00,HF00000EJ1
1.0274,2015-03-12 00:00:00,HF00000EJ1
1.0309,2015-03-13 00:00:00,HF00000EJ1
1.0343,2015-03-16 00:00:00,HF00000EJ1
1.0389,2015-03-17 00:00:00,HF00000EJ1
1.0459,2015-03-18 00:00:00,HF00000EJ1
1.0458,2015-03-19 00:00:00,HF00000EJ1
1.0493,2015-03-20 00:00:00,HF00000EJ1
1.0516,2015-03-23 00:00:00,HF00000EJ1
1.0539,2015-03-24 00:00:00,HF00000EJ1
1.0631,2015-03-25 00:00:00,HF00000EJ1
1.0666,2015-03-26 00:00:00,HF00000EJ1
1.0677,2015-03-27 00:00:00,HF00000EJ1
1.0654,2015-03-30 00:00:00,HF00000EJ1
1.063,2015-03-31 00:00:00,HF00000EJ1
1.0676,2015-04-01 00:00:00,HF00000EJ1
1.0781,2015-04-02 00:00:00,HF00000EJ1
1.0827,2015-04-03 00:00:00,HF00000EJ1
1.0954,2015-04-07 00:00:00,HF00000EJ1
1.093,2015-04-08 00:00:00,HF00000EJ1
1.0895,2015-04-09 00:00:00,HF00000EJ1
1.1174,2015-04-10 00:00:00,HF00000EJ1
1.1301,2015-04-13 00:00:00,HF00000EJ1
1.1312,2015-04-14 00:00:00,HF00000EJ1
1.1417,2015-04-15 00:00:00,HF00000EJ1
1.1568,2015-04-16 00:00:00,HF00000EJ1
1.1532,2015-04-17 00:00:00,HF00000EJ1
1.1427,2015-04-20 00:00:00,HF00000EJ1
1.1543,2015-04-21 00:00:00,HF00000EJ1
1.1659,2015-04-22 00:00:00,HF00000EJ1
1.174,2015-04-23 00:00:00,HF00000EJ1
1.1635,2015-04-24 00:00:00,HF00000EJ1
1.1693,2015-04-27 00:00:00,HF00000EJ1
1.182,2015-04-28 00:00:00,HF00000EJ1
1.211,2015-04-29 00:00:00,HF00000EJ1
1.2006,2015-04-30 00:00:00,HF00000EJ1
1.19,2015-05-04 00:00:00,HF00000EJ1
1.1703,2015-05-05 00:00:00,HF00000EJ1
1.1575,2015-05-06 00:00:00,HF00000EJ1
1.1516,2015-05-07 00:00:00,HF00000EJ1
1.1644,2015-05-08 00:00:00,HF00000EJ1
1.2061,2015-05-11 00:00:00,HF00000EJ1
1.2107,2015-05-12 00:00:00,HF00000EJ1
1.213,2015-05-13 00:00:00,HF00000EJ1
1.2258,2015-05-14 00:00:00,HF00000EJ1
1.2165,2015-05-15 00:00:00,HF00000EJ1
1.2222,2015-05-18 00:00:00,HF00000EJ1
1.2489,2015-05-19 00:00:00,HF00000EJ1
1.2802,2015-05-20 00:00:00,HF00000EJ1
1.2802,2015-05-21 00:00:00,HF00000EJ1
1.2976,2015-05-22 00:00:00,HF00000EJ1
1.3603,2015-05-25 00:00:00,HF00000EJ1
1.3916,2015-05-26 00:00:00,HF00000EJ1
1.4473,2015-05-27 00:00:00,HF00000EJ1
1.3799,2015-05-28 00:00:00,HF00000EJ1
1.3636,2015-05-29 00:00:00,HF00000EJ1
1.4054,2015-06-01 00:00:00,HF00000EJ1
1.439,2015-06-02 00:00:00,HF00000EJ1
1.4193,2015-06-03 00:00:00,HF00000EJ1
1.396,2015-06-04 00:00:00,HF00000EJ1
1.4215,2015-06-05 00:00:00,HF00000EJ1
1.4772,2015-06-08 00:00:00,HF00000EJ1
1.4865,2015-06-09 00:00:00,HF00000EJ1
1.4737,2015-06-10 00:00:00,HF00000EJ1
1.4934,2015-06-11 00:00:00,HF00000EJ1
1.5142,2015-06-12 00:00:00,HF00000EJ1
1.4677,2015-06-15 00:00:00,HF00000EJ1
1.42,2015-06-16 00:00:00,HF00000EJ1
1.4386,2015-06-17 00:00:00,HF00000EJ1
1.3991,2015-06-18 00:00:00,HF00000EJ1
1.3549,2015-06-19 00:00:00,HF00000EJ1
1.3722,2015-06-23 00:00:00,HF00000EJ1
1.4082,2015-06-24 00:00:00,HF00000EJ1
1.3664,2015-06-25 00:00:00,HF00000EJ1
1.2966,2015-06-26 00:00:00,HF00000EJ1
1.2315,2015-06-29 00:00:00,HF00000EJ1
1.271,2015-06-30 00:00:00,HF00000EJ1
1.2384,2015-07-01 00:00:00,HF00000EJ1
1.2094,2015-07-02 00:00:00,HF00000EJ1
1.1594,2015-07-03 00:00:00,HF00000EJ1
1.1582,2015-07-06 00:00:00,HF00000EJ1
1.1036,2015-07-07 00:00:00,HF00000EJ1
1.1047,2015-07-08 00:00:00,HF00000EJ1
1.1058,2015-07-09 00:00:00,HF00000EJ1
1.107,2015-07-10 00:00:00,HF00000EJ1
1.1603,2015-07-13 00:00:00,HF00000EJ1
1.2207,2015-07-14 00:00:00,HF00000EJ1
1.1859,2015-07-15 00:00:00,HF00000EJ1
1.2009,2015-07-16 00:00:00,HF00000EJ1
1.245,2015-07-17 00:00:00,HF00000EJ1
1.2508,2015-07-20 00:00:00,HF00000EJ1
1.2624,2015-07-21 00:00:00,HF00000EJ1
1.2763,2015-07-22 00:00:00,HF00000EJ1
1.3088,2015-07-23 00:00:00,HF00000EJ1
1.3018,2015-07-24 00:00:00,HF00000EJ1
1.2274,2015-07-27 00:00:00,HF00000EJ1
1.2204,2015-07-28 00:00:00,HF00000EJ1
1.2831,2015-07-29 00:00:00,HF00000EJ1
1.2714,2015-07-30 00:00:00,HF00000EJ1
1.2772,2015-07-31 00:00:00,HF00000EJ1
1.2783,2015-08-03 00:00:00,HF00000EJ1
