value,date,id
1.0,2014-11-26 00:00:00,HF00000ELY
1.0,2014-11-27 00:00:00,HF00000ELY
1.0,2014-11-28 00:00:00,HF00000ELY
0.929696,2014-12-01 00:00:00,HF00000ELY
0.802886,2014-12-02 00:00:00,HF00000ELY
0.792728,2014-12-03 00:00:00,HF00000ELY
1.100318,2014-12-04 00:00:00,HF00000ELY
1.175745,2014-12-05 00:00:00,HF00000ELY
1.417797,2014-12-08 00:00:00,HF00000ELY
1.121513,2014-12-09 00:00:00,HF00000ELY
1.234245,2014-12-10 00:00:00,HF00000ELY
1.020975,2014-12-11 00:00:00,HF00000ELY
1.061233,2014-12-12 00:00:00,HF00000ELY
1.129605,2014-12-15 00:00:00,HF00000ELY
1.309281,2014-12-16 00:00:00,HF00000ELY
1.519852,2014-12-17 00:00:00,HF00000ELY
1.628612,2014-12-18 00:00:00,HF00000ELY
1.673133,2014-12-19 00:00:00,HF00000ELY
1.549477,2014-12-22 00:00:00,HF00000ELY
1.454776,2014-12-23 00:00:00,HF00000ELY
1.214802,2014-12-24 00:00:00,HF00000ELY
1.38769,2014-12-25 00:00:00,HF00000ELY
1.705953,2014-12-26 00:00:00,HF00000ELY
1.949537,2014-12-29 00:00:00,HF00000ELY
1.963981,2014-12-30 00:00:00,HF00000ELY
2.154854,2014-12-31 00:00:00,HF00000ELY
2.354991,2015-01-05 00:00:00,HF00000ELY
2.500047,2015-01-06 00:00:00,HF00000ELY
2.477923,2015-01-07 00:00:00,HF00000ELY
2.449892,2015-01-08 00:00:00,HF00000ELY
2.446924,2015-01-09 00:00:00,HF00000ELY
2.44358,2015-01-12 00:00:00,HF00000ELY
2.40991,2015-01-13 00:00:00,HF00000ELY
2.392948,2015-01-14 00:00:00,HF00000ELY
2.682444,2015-01-15 00:00:00,HF00000ELY
2.99968,2015-01-16 00:00:00,HF00000ELY
2.134291,2015-01-19 00:00:00,HF00000ELY
2.156877,2015-01-20 00:00:00,HF00000ELY
2.349976,2015-01-21 00:00:00,HF00000ELY
2.359454,2015-01-22 00:00:00,HF00000ELY
2.397799,2015-01-23 00:00:00,HF00000ELY
2.518467,2015-01-26 00:00:00,HF00000ELY
2.342306,2015-01-27 00:00:00,HF00000ELY
2.344993,2015-01-28 00:00:00,HF00000ELY
2.334114,2015-01-29 00:00:00,HF00000ELY
2.23639,2015-01-30 00:00:00,HF00000ELY
2.141188,2015-02-02 00:00:00,HF00000ELY
2.366281,2015-02-03 00:00:00,HF00000ELY
2.289554,2015-02-04 00:00:00,HF00000ELY
2.187482,2015-02-05 00:00:00,HF00000ELY
2.060426,2015-02-06 00:00:00,HF00000ELY
2.103388,2015-02-09 00:00:00,HF00000ELY
2.103388,2015-02-10 00:00:00,HF00000ELY
2.102241,2015-02-11 00:00:00,HF00000ELY
2.084238,2015-02-12 00:00:00,HF00000ELY
2.084238,2015-02-13 00:00:00,HF00000ELY
2.084238,2015-02-16 00:00:00,HF00000ELY
2.084238,2015-02-17 00:00:00,HF00000ELY
2.12162,2015-02-25 00:00:00,HF00000ELY
2.230103,2015-02-26 00:00:00,HF00000ELY
2.314736,2015-02-27 00:00:00,HF00000ELY
2.498271,2015-03-02 00:00:00,HF00000ELY
2.541903,2015-03-03 00:00:00,HF00000ELY
2.499415,2015-03-04 00:00:00,HF00000ELY
2.442184,2015-03-05 00:00:00,HF00000ELY
2.429122,2015-03-06 00:00:00,HF00000ELY
2.427002,2015-03-09 00:00:00,HF00000ELY
2.484233,2015-03-10 00:00:00,HF00000ELY
2.696198,2015-03-11 00:00:00,HF00000ELY
2.769371,2015-03-12 00:00:00,HF00000ELY
2.714841,2015-03-13 00:00:00,HF00000ELY
2.580679,2015-03-16 00:00:00,HF00000ELY
2.647754,2015-03-17 00:00:00,HF00000ELY
2.878853,2015-03-18 00:00:00,HF00000ELY
2.820884,2015-03-19 00:00:00,HF00000ELY
3.002479,2015-03-20 00:00:00,HF00000ELY
3.429489,2015-03-23 00:00:00,HF00000ELY
3.436346,2015-03-24 00:00:00,HF00000ELY
3.365969,2015-03-25 00:00:00,HF00000ELY
3.320748,2015-03-26 00:00:00,HF00000ELY
3.365462,2015-03-27 00:00:00,HF00000ELY
3.685988,2015-03-30 00:00:00,HF00000ELY
3.697612,2015-03-31 00:00:00,HF00000ELY
3.936974,2015-04-01 00:00:00,HF00000ELY
3.500371,2015-04-02 00:00:00,HF00000ELY
3.415405,2015-04-03 00:00:00,HF00000ELY
3.620043,2015-04-07 00:00:00,HF00000ELY
3.509092,2015-04-08 00:00:00,HF00000ELY
3.521543,2015-04-09 00:00:00,HF00000ELY
2.71171,2015-04-10 00:00:00,HF00000ELY
2.738156,2015-04-13 00:00:00,HF00000ELY
2.79632,2015-04-14 00:00:00,HF00000ELY
2.830607,2015-04-15 00:00:00,HF00000ELY
2.849329,2015-04-16 00:00:00,HF00000ELY
2.849329,2015-04-17 00:00:00,HF00000ELY
2.849329,2015-04-20 00:00:00,HF00000ELY
2.849329,2015-04-21 00:00:00,HF00000ELY
2.849329,2015-04-22 00:00:00,HF00000ELY
2.849329,2015-04-23 00:00:00,HF00000ELY
2.849329,2015-04-24 00:00:00,HF00000ELY
2.849329,2015-04-27 00:00:00,HF00000ELY
2.849329,2015-04-28 00:00:00,HF00000ELY
2.849329,2015-04-29 00:00:00,HF00000ELY
2.849329,2015-04-30 00:00:00,HF00000ELY
2.849329,2015-05-04 00:00:00,HF00000ELY
2.849329,2015-05-05 00:00:00,HF00000ELY
2.849329,2015-05-06 00:00:00,HF00000ELY
2.849329,2015-05-07 00:00:00,HF00000ELY
2.849329,2015-05-08 00:00:00,HF00000ELY
2.849329,2015-05-11 00:00:00,HF00000ELY
2.849329,2015-05-12 00:00:00,HF00000ELY
2.849329,2015-05-13 00:00:00,HF00000ELY
2.849329,2015-05-14 00:00:00,HF00000ELY
2.849329,2015-05-15 00:00:00,HF00000ELY
2.849329,2015-05-18 00:00:00,HF00000ELY
2.849329,2015-05-19 00:00:00,HF00000ELY
2.849329,2015-05-20 00:00:00,HF00000ELY
2.849329,2015-05-21 00:00:00,HF00000ELY
2.849329,2015-05-25 00:00:00,HF00000ELY
2.849329,2015-05-26 00:00:00,HF00000ELY
2.849329,2015-05-27 00:00:00,HF00000ELY
2.849329,2015-05-28 00:00:00,HF00000ELY
2.849329,2015-05-29 00:00:00,HF00000ELY
2.849329,2015-06-01 00:00:00,HF00000ELY
2.849329,2015-06-02 00:00:00,HF00000ELY
2.849329,2015-06-03 00:00:00,HF00000ELY
2.849329,2015-06-04 00:00:00,HF00000ELY
2.849329,2015-06-05 00:00:00,HF00000ELY
2.849329,2015-06-08 00:00:00,HF00000ELY
2.849329,2015-06-09 00:00:00,HF00000ELY
2.849329,2015-06-10 00:00:00,HF00000ELY
2.849329,2015-06-11 00:00:00,HF00000ELY
2.849329,2015-06-12 00:00:00,HF00000ELY
2.849329,2015-06-15 00:00:00,HF00000ELY
2.849329,2015-06-16 00:00:00,HF00000ELY
2.849329,2015-06-17 00:00:00,HF00000ELY
2.849329,2015-06-18 00:00:00,HF00000ELY
2.849329,2015-06-19 00:00:00,HF00000ELY
2.849329,2015-06-23 00:00:00,HF00000ELY
2.849329,2015-06-24 00:00:00,HF00000ELY
2.849329,2015-06-25 00:00:00,HF00000ELY
2.849329,2015-06-26 00:00:00,HF00000ELY
2.849329,2015-06-29 00:00:00,HF00000ELY
2.849329,2015-06-30 00:00:00,HF00000ELY
2.849329,2015-07-01 00:00:00,HF00000ELY
2.849329,2015-07-02 00:00:00,HF00000ELY
2.849329,2015-07-03 00:00:00,HF00000ELY
2.849329,2015-07-06 00:00:00,HF00000ELY
2.849329,2015-07-07 00:00:00,HF00000ELY
2.849329,2015-07-08 00:00:00,HF00000ELY
2.849329,2015-07-09 00:00:00,HF00000ELY
2.849329,2015-07-10 00:00:00,HF00000ELY
2.849329,2015-07-13 00:00:00,HF00000ELY
2.849329,2015-07-14 00:00:00,HF00000ELY
2.849329,2015-07-15 00:00:00,HF00000ELY
2.849329,2015-07-16 00:00:00,HF00000ELY
2.849329,2015-07-17 00:00:00,HF00000ELY
2.849329,2015-07-20 00:00:00,HF00000ELY
2.849329,2015-07-21 00:00:00,HF00000ELY
2.849329,2015-07-22 00:00:00,HF00000ELY
2.849329,2015-07-23 00:00:00,HF00000ELY
2.849329,2015-07-24 00:00:00,HF00000ELY
2.849329,2015-07-27 00:00:00,HF00000ELY
2.849329,2015-07-28 00:00:00,HF00000ELY
2.849329,2015-07-29 00:00:00,HF00000ELY
2.849329,2015-07-30 00:00:00,HF00000ELY
2.849329,2015-07-31 00:00:00,HF00000ELY
2.849329,2015-08-03 00:00:00,HF00000ELY
2.849329,2015-08-04 00:00:00,HF00000ELY
2.849329,2015-08-05 00:00:00,HF00000ELY
2.849329,2015-08-06 00:00:00,HF00000ELY
2.849329,2015-08-07 00:00:00,HF00000ELY
2.849329,2015-08-10 00:00:00,HF00000ELY
2.849329,2015-08-11 00:00:00,HF00000ELY
2.849329,2015-08-12 00:00:00,HF00000ELY
2.849329,2015-08-13 00:00:00,HF00000ELY
2.849329,2015-08-14 00:00:00,HF00000ELY
