value,date,id
1.0,2015-01-26 00:00:00,HF00000EPE
0.9222,2015-01-30 00:00:00,HF00000EPE
0.9198,2015-02-06 00:00:00,HF00000EPE
0.9555,2015-02-13 00:00:00,HF00000EPE
0.968,2015-02-27 00:00:00,HF00000EPE
0.8973,2015-03-06 00:00:00,HF00000EPE
0.8865,2015-03-13 00:00:00,HF00000EPE
0.9954,2015-03-20 00:00:00,HF00000EPE
0.9691,2015-03-27 00:00:00,HF00000EPE
1.0355,2015-04-03 00:00:00,HF00000EPE
1.0866,2015-04-10 00:00:00,HF00000EPE
1.0254,2015-04-17 00:00:00,HF00000EPE
1.0592,2015-04-24 00:00:00,HF00000EPE
0.9801,2015-04-30 00:00:00,HF00000EPE
0.9118,2015-05-08 00:00:00,HF00000EPE
1.0265,2015-05-15 00:00:00,HF00000EPE
1.0086,2015-05-22 00:00:00,HF00000EPE
0.9905,2015-05-29 00:00:00,HF00000EPE
0.9964,2015-06-05 00:00:00,HF00000EPE
0.9976,2015-06-12 00:00:00,HF00000EPE
0.9551,2015-06-19 00:00:00,HF00000EPE
0.9409,2015-06-26 00:00:00,HF00000EPE
0.664,2015-07-10 00:00:00,HF00000EPE
0.6782,2015-07-17 00:00:00,HF00000EPE
0.8024,2015-07-24 00:00:00,HF00000EPE
0.7143,2015-07-31 00:00:00,HF00000EPE
0.789,2015-08-07 00:00:00,HF00000EPE
