value,date,id
1.0,2015-01-13 00:00:00,HF00000EPH
1.0525,2015-01-22 00:00:00,HF00000EPH
1.063,2015-01-29 00:00:00,HF00000EPH
1.0871,2015-02-05 00:00:00,HF00000EPH
1.0801,2015-02-12 00:00:00,HF00000EPH
1.1351,2015-02-26 00:00:00,HF00000EPH
1.2304,2015-03-05 00:00:00,HF00000EPH
1.1934,2015-03-12 00:00:00,HF00000EPH
1.2816,2015-03-19 00:00:00,HF00000EPH
1.3414,2015-03-26 00:00:00,HF00000EPH
1.4103,2015-04-02 00:00:00,HF00000EPH
1.4055,2015-04-16 00:00:00,HF00000EPH
1.4725,2015-04-23 00:00:00,HF00000EPH
1.4393,2015-04-30 00:00:00,HF00000EPH
1.3641,2015-05-07 00:00:00,HF00000EPH
1.4728,2015-05-14 00:00:00,HF00000EPH
1.4324,2015-05-22 00:00:00,HF00000EPH
1.4731,2015-05-29 00:00:00,HF00000EPH
1.7608,2015-06-05 00:00:00,HF00000EPH
1.8401,2015-06-12 00:00:00,HF00000EPH
1.9146,2015-06-26 00:00:00,HF00000EPH
2.0525,2015-06-30 00:00:00,HF00000EPH
2.2456,2015-07-17 00:00:00,HF00000EPH
2.2774,2015-07-24 00:00:00,HF00000EPH
2.28,2015-07-31 00:00:00,HF00000EPH
2.3146,2015-08-07 00:00:00,HF00000EPH
